ArrayName	LibraryFile	AnnotationFile	Species	ArrayType
HG-U133_Plus_2	HG-U133_Plus_2.cdf	HG-U133_Plus_2.na28.annot.csv	Hs	3'array
HG-U133A	HG-U133A.cdf	HG-U133A.na28.annot.csv	Hs	3'array
HuEx-1_0-st-v1	HuEx-1_0-st-v2.r2.pgf	HuGene-1_0-st-v1.na28.hg18.transcript.csv	Hs	exon
HuEx-1_0-st-v2	HuEx-1_0-st-v2.r2.pgf	HuGene-1_0-st-v1.na28.hg18.transcript.csv	Hs	exon
HuGene-1_0-st-v1	HuGene-1_0-st-v1.r4.pgf	HuGene-1_0-st-v1.na28.hg18.transcript.csv	Hs	gene
MOE430A	MOE430A.cdf	MOE430A.na28.annot.csv	Mm	3'array
MOE430B	MOE430B.cdf	MOE430B.na28.annot.csv	Mm	3'array
MoEx-1_0-st-v1	MoEx-1_0-st-v1.r2.pgf	MoGene-1_0-st-v1.na28.mm9.transcript.csv	Mm	exon
MoEx-1_0-st-v1_demo	MoEx-1_0-st-v1_demo.r2.pgf	MoGene-1_0-st-v1.na28.mm9.transcript_demo.csv	Mm	exon
MoEx-1_0-st-v2	MoEx-1_0-st-v1.r2.pgf	MoGene-1_0-st-v1.na28.mm9.transcript.csv	Mm	exon
MoGene-1_0-st-v1	MoGene-1_0-st-v1.r4.pgf	MoGene-1_0-st-v1.na28.mm9.transcript.csv	Mm	gene
Mouse430_2	Mouse430_2.cdf	Mouse430_2.na28.annot.csv	Mm	3'array
Mouse430A_2	Mouse430A_2.cdf	Mouse430A_2.na28.annot.csv	Mm	3'array
altMouseA	altMouseA.cdf	MoGene-1_0-st-v1.na28.mm9.transcript.csv	Mm	AltMouse
RAE230A	RAE230A.cdf	RAE230A.na28.annot.csv	Rn	3'array
RAE230B	RAE230B.cdf	RAE230B.na28.annot.csv	Rn	3'array
RaEx-1_0-st-v1	RaEx-1_0-st-v2.r2.pgf	RaGene-1_0-st-v1.na28.rn4.transcript.csv	Rn	exon
RaEx-1_0-st-v2	RaEx-1_0-st-v2.r2.pgf	RaGene-1_0-st-v1.na28.rn4.transcript.csv	Rn	exon
RaGene-1_0-st-v1	RaGene-1_0-st-v1.r4.pgf	RaGene-1_0-st-v1.na28.rn4.transcript.csv	Rn	gene
Rat230_2	Rat230_2.cdf	Rat230_2.na28.annot.csv	Rn	3'array
RG_U34A	RG_U34A.cdf	RG_U34A.na28.annot.csv	Rn	3'array
RG_U34B	RG_U34B.cdf	RG_U34B.na28.annot.csv	Rn	3'array
RG_U34C	RG_U34C.cdf	RG_U34C.na28.annot.csv	Rn	3'array
AG	AG.cdf	Plasmodium_Anopheles.na29.annot.csv	Ag	3'array
ATH1-121501	ATH1-121501.cdf	ATH1-121501.na29.annot.csv	At	3'array
Barley1	Barley1.cdf	Barley1.na29.annot.csv	Hv	3'array
Bovine	Bovine.cdf	Bovine.na29.annot.csv	Bt	3'array
Canine	Canine.cdf	Canine_2.na29.annot.csv	Cf	3'array
Canine_2	Canine_2.cdf	Canine_2.na29.annot.csv	Cr	3'array
Celegans	Celegans.cdf	Celegans.na29.annot.csv	Ce	3'array
