System	SystemCode	MOD_status
Xenopus_Jamboree	Xj	
modCB	Mg	
MIM	Mi	
sharesCDS	Sc	
Illumina	Il	
miRBase	Mb	
Kyotograil	Ky	
Vega_transcript	Vr	
XenTro	Xen	
MiscArray	Ma	
wormpep_id	Wp	
CCDS	Cc	
Cint	Cj	
RefSeq	Q	
ENST	Enst	
TetNig	Tet	
Wormbase	Wb	
WikiGene	Wg	
Agilent	Ag	
Genoscope_pred_gene	Gen	
TakRub	Tak	
GPCR	Gpcr	
EntrezGene	L	MOD
CioInt	Cio	
UniProt	S	
ProteinID	Pi	
Osford_FGU	Of	
FlyBase	F	
SGD	D	
Fantom	Fa	
FlyGrid	Fg	
EMBL	Em	
DBASS3	Dba	
Affymetrix	X	
Vega_translation	Vt	
GadFly	Gf	
BDGP_insitu_expr	Bd	
Platypus_olfactory_receptor	Pr	
PUBMED	Pu	
Ensembl	En	MOD
Zfin	Z	
HPA	Hpa	
CloneID	Clb	
PDB	Pd	
UniGene	Ug	
IMGT	Im	
Tgut_symbol	Ts	
Codelink	Co	
EPD	Epd	
MGI	M	
IPI	Ip	
MEROPS	Merops	
UCSC	Ucsc	
Vega	Vg	
TransFac	Transfac	
Sanger	Sh	
RFAM	Rf	
DEDb	De	
OTT	Ot	
HGNC	Hg	
goslim_goa	gos	
