ArrayName	LibraryFile	AnnotationFile	Species	ArrayType
AG	AG.cdf	Plasmodium_Anopheles.na29.annot.csv	Ag	3'array
altMouseA	altMouseA.cdf	MoGene-1_0-st-v1.na28.mm9.transcript.csv	Mm	AltMouse
ATH1-121501	ATH1-121501.cdf	ATH1-121501.na29.annot.csv	At	3'array
Barley1	Barley1.cdf	Barley1.na29.annot.csv	Hv	3'array
Bovine	Bovine.cdf	Bovine.na29.annot.csv	Bt	3'array
Canine	Canine.cdf	Canine_2.na29.annot.csv	Cf	3'array
Canine_2	Canine_2.cdf	Canine_2.na29.annot.csv	Cr	3'array
Celegans	Celegans.cdf	Celegans.na29.annot.csv	Ce	3'array
Chicken	Chicken.cdf	Chicken.na29.annot.csv	Gg	3'array
Citrus	Citrus.cdf	Citrus.na29.annot.csv	Ca	3'array
Cotton	Cotton.cdf	Cotton.na29.annot.csv	Gh	3'array
DrosGenome1	DrosGenome1.cdf	DrosGenome1.na29.annot.csv	Dm	3'array
Drosophila_2	Drosophila_2.cdf	Drosophila_2.na29.annot.csv	Dm	3'array
E_coli_2	E_coli_2.cdf	E_coli_2.na29.annot.csv	Ec	3'array
Ecoli	Ecoli.cdf	Ecoli_ASv2.na29.annot.csv	Ec	3'array
HG-U133_Plus_2	HG-U133_Plus_2.cdf	HG-U133_Plus_2.na28.annot.csv	Hs	3'array
HG-U133A	HG-U133A.cdf	HG-U133A.na28.annot.csv	Hs	3'array
HG-U133B	HG-U133B.cdf	HG-U133_Plus_2.na28.annot.csv	Hs	3'array
HG-U133A_2	HG-U133A_2.cdf	HG-U133A_2.na31.annot.csv	Hs	3'array
hGlue_3_0_v1	hGlue_3_0_v1.pgf	HuGene-1_0-st-v1.na28.hg18.transcript.csv	Hs	junction
hjay	HJAY_r2.pgf	HuGene-1_0-st-v1.na28.hg18.transcript.csv	Hs	junction
HJAY_r2	HJAY_r2.pgf	HuGene-1_0-st-v1.na28.hg18.transcript.csv	Hs	junction
HTA-2_0	HTA-2_0.r1.pgf	HuGene-1_0-st-v1.na28.hg18.transcript.csv	Hs	junction
HuEx-1_0-st-v1	HuEx-1_0-st-v2.r2.pgf	HuGene-1_0-st-v1.na28.hg18.transcript.csv	Hs	exon
HuEx-1_0-st-v2	HuEx-1_0-st-v2.r2.pgf	HuGene-1_0-st-v1.na28.hg18.transcript.csv	Hs	exon
HuGene-1_0-st-v1	HuGene-1_0-st-v1.r4.pgf	HuGene-1_0-st-v1.na28.hg18.transcript.csv	Hs	gene
HuGene-2_0-st	HuGene-2_0-st.pgf	HuGene-1_0-st-v1.na28.hg18.transcript.csv	Hs	gene
HuGene-2_1-st	HuGene-2_1-st.pgf	HuGene-1_0-st-v1.na28.hg18.transcript.csv	Hs	gene
Maize	Maize.cdf	Maize.na30.annot.csv	Zm	3'array
Medicago	Medicago.cdf	Medicago.na29.annot.csv	Mt	3'array
MG_U74Av2	MG_U74Av2.cdf	MG_U74Av2	Mm	3'array
MG_U74Bv2	MG_U74Bv2.cdf	MG_U74Bv2	Mm	3'array
MG_U74Cv2	MG_U74Cv2.cdf	MG_U74Cv2	Mm	3'array
miRNA-1_0	miRNA-2_0.cdf	miRNA-1_0.annotations.20081203.csv	Hs	3'array
mjay	MJAY_r2.pgf	MoGene-1_0-st-v1.na28.mm9.transcript.csv	Mm	junction
MJAY_r2	MJAY_r2.pgf	MoGene-1_0-st-v1.na28.mm9.transcript.csv	Mm	junction
MOE430A	MOE430A.cdf	MOE430A.na28.annot.csv	Mm	3'array
MOE430B	MOE430B.cdf	MOE430B.na28.annot.csv	Mm	3'array
MoEx-1_0-st-v1	MoEx-1_0-st-v1.r2.pgf	MoGene-1_0-st-v1.na28.mm9.transcript.csv	Mm	exon
MoEx-1_0-st-v1_demo	MoEx-1_0-st-v1_demo.r2.pgf	MoGene-1_0-st-v1.na28.mm9.transcript_demo.csv	Mm	exon
MoEx-1_0-st-v2	MoEx-1_0-st-v1.r2.pgf	MoGene-1_0-st-v1.na28.mm9.transcript.csv	Mm	exon
MoGene-1_0-st-v1	MoGene-1_0-st-v1.r4.pgf	MoGene-1_0-st-v1.na28.mm9.transcript.csv	Mm	gene
MoGene-2_1-st	MoGene-2_1-st.pgf	MoGene-1_0-st-v1.na28.mm9.transcript.csv	Mm	gene
Mouse430_2	Mouse430_2.cdf	Mouse430_2.na28.annot.csv	Mm	3'array
Mouse430A_2	Mouse430A_2.cdf	Mouse430A_2.na28.annot.csv	Mm	3'array
Pae_G1a	Pae_G1a.cdf	Pae_G1a.na29.annot.csv	Pa	3'array
Plasmodium_Anopheles	Plasmodium_Anopheles.cdf	Plasmodium_Anopheles.na29.annot.csv	Pf	3'array
Poplar	Poplar.cdf	Poplar.na29.annot.csv	Po	3'array
Porcine	Porcine.cdf	Porcine.na29.annot.csv	Ss	3'array
RAE230A	RAE230A.cdf	RAE230A.na28.annot.csv	Rn	3'array
RAE230B	RAE230B.cdf	RAE230B.na28.annot.csv	Rn	3'array
RaEx-1_0-st-v1	RaEx-1_0-st-v2.r2.pgf	RaGene-1_0-st-v1.na28.rn4.transcript.csv	Rn	exon
RaEx-1_0-st-v2	RaEx-1_0-st-v2.r2.pgf	RaGene-1_0-st-v1.na28.rn4.transcript.csv	Rn	exon
RaGene-1_0-st-v1	RaGene-1_0-st-v1.r4.pgf	RaGene-1_0-st-v1.na28.rn4.transcript.csv	Rn	gene
RaGene-2_0-st	RaGene-2_0-st.pgf	RaGene-1_0-st-v1.na28.rn4.transcript.csv	Rn	gene
Rat230_2	Rat230_2.cdf	Rat230_2.na28.annot.csv	Rn	3'array
RG_U34A	RG_U34A.cdf	RG_U34A.na28.annot.csv	Rn	3'array
RG_U34B	RG_U34B.cdf	RG_U34B.na28.annot.csv	Rn	3'array
RG_U34C	RG_U34C.cdf	RG_U34C.na28.annot.csv	Rn	3'array
Rhesus	Rhesus.cdf	Rhesus.na29.annot.csv	Ma	3'array
Rice	Rice.cdf	Rice.na29.annot.csv	Os	3'array
S_aureus	S_aureus.cdf	S_aureus.na29.annot.csv	Su	3'array
Soybean	Soybean.cdf	Soybean.na29.annot.csv	Gm	3'array
Sugar_Cane	Sugar_Cane.cdf	Sugar_Cane.na29.annot.csv	So	3'array
Tomato	Tomato.cdf	Tomato.na29.annot.csv	Sl	3'array
Vitis_Vinifera	Vitis_Vinifera.cdf	Vitis_Vinifera.na29.annot.csv	Vv	3'array
wheat	wheat.cdf	wheat.na29.annot.csv	Ta	3'array
X_laevis_2	X_laevis_2.cdf	X_laevis_2.na29.annot.csv	Xl	3'array
X_tropicalis	X_tropicalis.cdf	X_tropicalis.na29.annot.csv	Xt	3'array
Xenopus_laevis	Xenopus_laevis.cdf	Xenopus_laevis.na29.annot.csv	Xl	3'array
Yeast_2	Yeast_2.cdf	Yeast_2.na29.annot.csv	Sc	3'array
YG_S98	YG_S98.cdf	YG_S98.na29.annot.csv	Sc	3'array
Zebrafish	Zebrafish.cdf	Zebrafish.na29.annot.csv	Dr	3'array
