ID	Database	Species_Specific	exclude	SystemCode
7160	Aedes_ManualAnnotation	Aedes aegypti		Am
7159	AedesGenBank	Aedes aegypti		Em
3125	AFFY_Bovine	Bos taurus		X
3123	AFFY_C_elegans	Caenorhabditis elegans		X
3117	AFFY_Canine	Canis familiaris		X
3118	AFFY_Chicken	Gallus gallus		X
3130	AFFY_CINT06a520380F	Ciona intestinalis		X
3120	AFFY_DrosGenome1	Drosophila melanogaster		X
3121	AFFY_Drosophila_2	Drosophila melanogaster		X
3122	AFFY_HC_G110	Homo sapiens		X
3113	AFFY_HG_Focus	Homo sapiens		X
3101	AFFY_HG_U133_all	Homo sapiens		X
3111	AFFY_HG_U133_Plus_2	Homo sapiens		X
3102	AFFY_HG_U133A	Homo sapiens		X
3112	AFFY_HG_U133A_2	Homo sapiens		X
3103	AFFY_HG_U133B	Homo sapiens		X
3104	AFFY_HG_U95_all	Homo sapiens		X
3105	AFFY_HG_U95A	Homo sapiens		X
3106	AFFY_HG_U95Av2	Homo sapiens		X
3107	AFFY_HG_U95B	Homo sapiens		X
3108	AFFY_HG_U95C	Homo sapiens		X
3109	AFFY_HG_U95D	Homo sapiens		X
3110	AFFY_HG_U95E	Homo sapiens		X
3135	AFFY_HuEx_1_0_st_v2	Homo sapiens		X
3136	AFFY_HuGene_1_0_st_v1	Homo sapiens		X
3119	AFFY_HuGeneFL	Homo sapiens		X
3001	AFFY_MG_U74_all	Mus musculus		X
3002	AFFY_MG_U74A	Mus musculus		X
3003	AFFY_MG_U74Av2	Mus musculus		X
3004	AFFY_MG_U74B	Mus musculus		X
3005	AFFY_MG_U74Bv2	Mus musculus		X
3006	AFFY_MG_U74C	Mus musculus		X
3007	AFFY_MG_U74Cv2	Mus musculus		X
3008	AFFY_MOE430_all	Mus musculus		X
3009	AFFY_MOE430A	Mus musculus		X
3010	AFFY_MOE430B	Mus musculus		X
3133	AFFY_MoEx_1_0_st_v1	Mus musculus		X
3134	AFFY_MoGene_1_0_st_v1	Mus musculus		X
3014	AFFY_Mouse430_2	Mus musculus		X
3015	AFFY_Mouse430A_2	Mus musculus		X
3011	AFFY_Mu11Ksub_all	Mus musculus		X
3012	AFFY_Mu11KsubA	Mus musculus		X
3013	AFFY_Mu11KsubB	Mus musculus		X
3124	AFFY_Plasmodium_Anopheles	Anopheles gambiae		X
3051	AFFY_RAE230_all	Rattus norvegicus		X
3052	AFFY_RAE230A	Rattus norvegicus		X
3053	AFFY_RAE230B	Rattus norvegicus		X
3131	AFFY_RaEx_1_0_st_v1	Rattus norvegicus		X
3137	AFFY_RaGene_1_0_st_v1	Rattus norvegicus		X
3114	AFFY_Rat230_2	Rattus norvegicus		X
3054	AFFY_RG_U34_all	Rattus norvegicus		X
3055	AFFY_RG_U34A	Rattus norvegicus		X
3056	AFFY_RG_U34B	Rattus norvegicus		X
3057	AFFY_RG_U34C	Rattus norvegicus		X
3129	AFFY_Rhesus	Macaca mulatta		X
3058	AFFY_RN_U34	Rattus norvegicus		X
3059	AFFY_RT_U34	Rattus norvegicus		X
3116	AFFY_U133_X3P	Homo sapiens		X
3132	AFFY_X_tropicalis	Xenopus tropicalis		X
3128	AFFY_Yeast_2	Saccharomyces cerevisiae		X
3127	AFFY_YG_S98	Saccharomyces cerevisiae		X
3115	AFFY_Zebrafish	Danio rerio		X
3251	AGILENT_G2518A		 	Ag
3252	AGILENT_G2519F		 	Ag
4305	AgilentCGH		 	Ag
4300	AgilentProbe		 	Ag
210	Anopheles_symbol	Anopheles gambiae	 	As
3201	ARRAY_EMBL_MMC1_20k_v1		 	Ma
3202	ARRAY_EMBL_MMC2_12k_v1		 	Ma
3209	ARRAY_JHSPH_AGGAMBER_15k_v1		 	Ma
3205	ARRAY_JHU_AEG1_0_20k_v1		 	Ma
3203	ARRAY_JHU_GAM3_0_21k_v1		 	Ma
3206	ARRAY_LIV_AEGDETOX_0_25k_v1		 	Ma
3211	ARRAY_LIV_AEGDETOX_0_25k_v2		 	Ma
3204	ARRAY_LIV_GAMDETOX_0_25k_v1		 	Ma
3210	ARRAY_LIV_GAMDETOX_0_25k_v2		 	Ma
3207	ARRAY_ND_TIGRTC_9_6K_v1		 	Ma
3208	ARRAY_UCR_GillMgMT_0_2K_v2		 	Ma
3260	ARRAY_ZFISH_LEIDEN2	Danio rerio	 	Ma
3261	ARRAY_ZFISH_LEIDEN3	Danio rerio	 	Ma
880	BDGP_insitu_expr	Drosophila melanogaster	 	Bd
300	BRIGGSAE_HYBRID		 	Bh
9000	CaeEle_est		 	Cae
3800	CCDS		 	Cc
400	Celera_Gene		 	Cg
410	Celera_Pep		 	Cp
420	Celera_Trans		 	Ct
2610	cint_aniseed_v1		 	Cj
2611	cint_aniseed_v2		 	Cj
2601	cint_jgi_v1		 	Cj
2602	cint_jgi_v2		 	Cj
8900	CioInt_cdna		 	Cio
8800	CioInt_est		 	Cio
9700	CioSav_est	Ciona intestinalis	 	Cio
12315	Clone_based_ensembl_gene		 	Clb
12415	Clone_based_ensembl_transcript		 	Clb
12310	Clone_based_vega_gene		 	Clb
12410	Clone_based_vega_transcript		 	Clb
6000	Codelink		 	Co
11100	Culex_ncRNA			Cr
12500	DBASS3		 	Dba
12505	DBASS5		 	Dba
890	DEDb	Drosophila melanogaster	 	De
600	DROS_ORTH	Drosophila melanogaster	 	Do
700	EMBL		 	Em
701	EMBL_predicted		 	Em
7120	Ens_Aa_translation	Aedes aegypti	exclude	
6600	Ens_Ag_gene	Anopheles gambiae	exclude	
6630	Ens_Am_gene		exclude	
6660	Ens_Ce_gene	Caenorhabditis elegans	exclude	
5700	Ens_Cf_gene	Caenorhabditis elegans	exclude	
5710	Ens_Cf_transcript	Canis familiaris	exclude	
5720	Ens_Cf_translation	Canis familiaris	exclude	
