array_type	array_name	manufacturer	constitutive_source	compatible_species
junction	Junction Glue array	Affymetrix	Ensembl	Hs
RNASeq	Normalized externally	RNASeq	Ensembl	Mm|Hs|Rn|Dm|Sc|Ce|Gg|Dr|Zm|Ma
AltMouse	Junction AltMouse array	Affymetrix	Ensembl	Mm
junction	Junction JAY array	Affymetrix	Ensembl	Mm|Hs
exon	Exon 1.0 ST array	Affymetrix	Ensembl	Mm|Hs|Rn
RNASeq	Aligned read counts	RNASeq	Ensembl	Mm|Hs|Rn|Dm|Sc|Ce|Gg|Dr|Zm|Ma|Nc
3'array	Affymetrix expression array	Affymetrix	Affymetrix	Mm|Hs|Rn|Dm|Bt|Dr|Sc|Ce|Gg|Zm|At|Xl|Ma
3'array	Codelink expression array	Codelink	Codelink	Hs|Mm|Rn
gene	Gene 1.0 ST array	Affymetrix	Ensembl	Mm|Hs|Rn
3'array	Illumina expression array	Illumina	Illumina	Hs|Mm
3'array	Ensembl annotated data	Other ID	Ensembl	Hs|Mm|Rn
junction	Junction HTA 2.0 array	Affymetrix	Ensembl	Hs
junction	Junction MTA 1.0 array	Affymetrix	Ensembl	Mm
3'array	Misc. expression array	Misc	Misc	
3'array	Agilent expression array	Agilent	Agilent	Hs|Mm|Dr|Rn
