System	SystemCode	MOD_status
Xenopus_Jamboree	Xj	
modCB	Mg	
MIM	Mi	
sharesCDS	Sc	
Illumina	Il	
CAS	Ca	
Ensembl	En	MOD
Kyotograil	Ky	
UniParc	Uni	
Ens_Tg_translation	Ens	
Vega_transcript	Vr	
XenTro	Xen	
goslim_goa	gos	
wormpep_id	Wp	
CCDS	Cc	
EPD	Epd	
RefSeq	Q	
HGNC_trans_name	HGN	
ENST	Enst	
miRBase	Mb	
TakRub	Tak	
Wormbase	Wb	
WikiGene	Wg	
Agilent	Ag	
Genoscope_pred_gene	Gen	
KeggCompound	Ck	
TetNig	Tet	
GPCR	Gpcr	
EntrezGene	L	MOD
CioInt	Cio	
Cint	Cj	
HMDB	Ch	MOD
Osford_FGU	Of	
ProteinID	Pi	
RFAM_trans_name	RFA	
FlyBase	F	
HGNC	Hg	
SGD	D	
Fantom	Fa	
FlyGrid	Fg	
ArrayExpress	Arr	
EMBL	Em	
DBASS3	Dba	
Affymetrix	X	
Vega_translation	Vt	
GadFly	Gf	
BDGP_insitu_expr	Bd	
Platypus_olfactory_receptor	Pr	
RNAcentral	RNA	
Vega	Vg	
Uniprot	S	
TubercuList	Tb	
Zfin	Z	
HPA	Hpa	
CloneID	Clb	
ChEBI	Ce	
PDB	Pd	
UniGene	Ug	
IMGT	Im	
Tgut_symbol	Ts	
Codelink	Co	
MEROPS	Merops	
MGI	M	
IPI	Ip	
EntrezGene_trans_name	Ent	
MiscArray	Ma	
PubChem	Cp	
UCSC	Ucsc	
PUBMED	Pu	
TransFac	Transfac	
Sanger	Sh	
RefSeq_ncRNA_predicted	Ref	
RFAM	Rf	
DEDb	De	
OTT	Ot	
Symbol	Sy	
KEGG_Enzyme	KEG	
