System	SystemCode	MOD_status
Xenopus_Jamboree	Xj	
modCB	Mg	
MIM	Mi	
sharesCDS	Sc	
Illumina	Il	
miRBase	Mb	
RFAM	Rf	
Kyotograil	Ky	
Vega_transcript	Vr	
XenTro	Xen	
MEROPS	Merops	
wormpep_id	Wp	
CCDS	Cc	
RefSeq	Q	
Cint	Cj	
ENST	Enst	
TakRub	Tak	
Wormbase	Wb	
WikiGene	Wg	
Agilent	Ag	
Genoscope_pred_gene	Gen	
TetNig	Tet	
GPCR	Gpcr	
CioInt	Cio	
SwissProt	Swiss	
UniProt	S	
ProteinID	Pi	
Osford_FGU	Of	
FlyBase	F	
SGD	D	
PUBMED	Pu	
Fantom	Fa	
FlyGrid	Fg	
EMBL	Em	
DBASS3	Dba	
Affymetrix	X	
Vega_translation	Vt	
GadFly	Gf	
BDGP_insitu_expr	Bd	
Platypus_olfactory_receptor	Pr	
Vega	Vg	
Ensembl	En	MOD
Zfin	Z	
HPA	Hpa	
CloneID	Clb	
PDB	Pd	
UniGene	Ug	
IMGT	Im	
Tgut_symbol	Ts	
Codelink	Co	
EPD	Epd	
MGI	M	
IPI	Ip	
MiscArray	Ma	
UCSC	Ucsc	
EntrezGene	L	MOD
TransFac	Transfac	
Sanger	Sh	
DEDb	De	
OTT	Ot	
HGNC	Hg	
goslim_goa	gos	
