species_code	species_name
Ac	Anolis carolinensis
Ag	Anopheles gambiae
At	Arabidopsis thaliana
Am	Ailuropoda melanoleuca
Bt	Bos taurus
Ce	Caenorhabditis elegans
Cf	Canis familiaris
Ch	Choloepus hoffmanni
Ci	Ciona intestinalis
Cj	Callithrix jacchus
Cp	Cavia porcellus
Cs	Ciona savignyi
Dm	Drosophila melanogaster
Dn	Dasypus novemcinctus
Do	Dipodomys ordii
Dr	Danio rerio
Ec	Equus caballus
Ee	Erinaceus europaeus
Et	Echinops telfairi
Fc	Felis catus
Ga	Gasterosteus aculeatus
Gg	Gallus gallus
Gm	Glycine max
Go	Gorilla gorilla
Hs	Homo sapiens
Hv	Hordeum vulgare
La	Loxodonta africana
Ma	Macaca mulatta
Md	Monodelphis domestica
Me	Macropus eugenii
Mi	Microcebus murinus
Ml	Myotis lucifugus
Mm	Mus musculus
Mg	Meleagris gallopavo
Oa	Ornithorhynchus anatinus
Oc	Oryctolagus cuniculus
Og	Otolemur garnettii
Ol	Oryzias latipes
Op	Ochotona princeps
Os	Oryza sativa
Pa	Pseudomonas aeruginosa
Pc	Procavia capensis
Pf	Plasmodium falciparum
Pb	Pongo abelii
Po	Populus tremula
Pn	Papio anubis
Pp	Pongo pygmaeus
Pt	Pan troglodytes
Pv	Pteropus vampyrus
Rn	Rattus norvegicus
Sa	Sorex araneus
Sc	Saccharomyces cerevisiae
Sl	Solanum lycopersicum
Ss	Sus scrofa
St	Spermophilus tridecemlineatus
Su	Staphylococcus aureus
Ta	Triticum aestivum
Tb	Tupaia belangeri
Tg	Taeniopygia guttata
Tn	Tetraodon nigroviridis
Tr	Takifugu rubripes
Ts	Tarsius syrichta
Tt	Tursiops truncatus
Vp	Vicugna pacos
Vv	Vitis vinifera
Xl	Xenopus laevis
Xt	Xenopus tropicalis
Zm	Zea mays
