UID	Symbol	Pearson rho	Pearson p-value	Cell State
Pcp4	Pcp4	0.8125083179451336	0.0	10
Mafb	Mafb	0.7354682713845788	0.0	10
R3hdml	R3hdml	0.598866745767707	1.928619855962111e-223	10
Wt1	Wt1	0.5437798063724676	8.759873857620562e-177	10
Ndnf	Ndnf	0.5037971912617514	5.491252147449552e-148	10
Nphs1	Nphs1	0.5002275297040336	1.3445719909643158e-145	10
Nebl	Nebl	0.49501090978681084	3.70735222707361e-142	10
Nphs2	Nphs2	0.47009075153509844	1.6066677469567012e-126	10
Gadd45a	Gadd45a	0.44549251201641255	2.6309256717158084e-112	10
Ptpro	Ptpro	0.44266115511810833	9.606219253747468e-111	10
Peli2	Peli2	0.4394839977255832	5.227143638143568e-109	10
Npl	Npl	0.42712648211570076	1.976330315946349e-102	10
Gja3	Gja3	0.41234944160888115	6.446216844643222e-95	10
Mapt	Mapt	0.4092727010196524	2.122255577650894e-93	10
Gm266	Gm266	0.4012222224230376	1.6699920514294382e-89	10
Tmem150c	Tmem150c	0.3957846304423801	6.221432323323901e-87	10
Tmem8	Tmem8	0.3933076651197873	8.89693409090831e-86	10
Nkx6-1	Nkx6-1	0.39163443614105886	5.298045503272307e-85	10
Podxl	Podxl	0.38559540025957395	3.0457126433141845e-82	10
Srgap1	Srgap1	0.37985183948878803	1.1347960727698961e-79	10
Dusp15	Dusp15	0.37748509507295547	1.2574568207489355e-78	10
Magi2	Magi2	0.37452133975965257	2.485246834156669e-77	10
Plat	Plat	0.3685916275690003	8.866505357776258e-75	10
Tmem37	Tmem37	0.36657564160258094	6.358694193669953e-74	10
Cxx1a	Cxx1a	0.3615873489149981	7.838894494724789e-72	10
Metrnl	Metrnl	0.36094228041661125	1.451877703027507e-71	10
Hspa12a	Hspa12a	0.359585329935555	5.284324180652827e-71	10
Synpo	Synpo	0.3592706446524108	7.123821326551658e-71	10
Wipf3	Wipf3	0.3564481226164561	1.0226172236196691e-69	10
Foxc2	Foxc2	0.3438409929909272	1.0857003191764889e-64	10
Gm44201	Gm44201	0.33477634563280323	3.22660575376099e-61	10
Cxx1b	Cxx1b	0.32919605560850007	3.8850419908194564e-59	10
C1ql1	C1ql1	0.3247079323276402	1.70419184674796e-57	10
Aplp1	Aplp1	0.31547595423102254	3.332299170966129e-54	10
Zbtb7c	Zbtb7c	0.3109350340125112	1.2570901772219274e-52	10
Golim4	Golim4	0.3067428132491537	3.392291097826524e-51	10
Wnt8b	Wnt8b	0.3044504700903323	2.0100160176906848e-50	10
Htra3	Htra3	0.3022592927651443	1.0847603586785228e-49	10
Crb2	Crb2	0.2984610603979224	1.947714689210076e-48	10
Ddn	Ddn	0.29680975545740684	6.744120015402956e-48	10
Eif3m	Eif3m	0.29236020476588	1.8398554263964542e-46	10
Nme4	Nme4	0.2922968358676954	1.927738286144887e-46	10
St3gal5	St3gal5	0.29055872985094106	6.900071187284337e-46	10
Epb41l5	Epb41l5	0.2898917573314125	1.1228928781111527e-45	10
Pip5kl1	Pip5kl1	0.2882249871756284	3.77006937730373e-45	10
Ctnnal1	Ctnnal1	0.28705615708107507	8.772003423140859e-45	10
Cmtm7	Cmtm7	0.28410905396412045	7.246035710355513e-44	10
Prr15	Prr15	0.28012481458278166	1.2086728128409873e-42	10
Proser2	Proser2	0.2791854171627065	2.331102815513699e-42	10
Itgb5	Itgb5	0.279158076962051	2.3760019488592007e-42	10
Casz1	Casz1	0.27836044305144225	4.141463681383554e-42	10
Cadm4	Cadm4	0.2739717359739611	8.523264379868242e-41	10
Cdh4	Cdh4	0.2711647957189084	5.728937620480572e-40	10
Clic5	Clic5	0.26880628404918344	2.791221783726761e-39	10
Lmx1b	Lmx1b	0.2672052158442888	8.10467010453506e-39	10
Nell2	Nell2	0.26366111823494004	8.361385846709237e-38	10
Ngfr	Ngfr	0.26356149543331	8.923718059284146e-38	10
Kirrel2	Kirrel2	0.26349452356852726	9.322706547646364e-38	10
