UID	row_clusters-flat	Cell27-B7	Cell12-F3	Cell4-H1	Cell75-E7	Cell45-B12	Cell54-A2	Cell96-A12	Cell19-E5	Cell69-D5	Cell31-G7	Cell52-G1	Cell33-B8	Cell83-B9	Cell40-G10	Cell36-H8	Cell7-F2	Cell94-C11	Cell35-E8	Cell16-F4	Cell39-C10	Cell18-A5	Cell23-B6	Cell53-H1	Cell32-H7	Cell2-D1	Cell64-E4	Cell82-F8	Cell6-E2	Cell37-D9	Cell55-D2	Cell22-A6	Cell44-A12	Cell20-F5	Cell3-F1	Cell15-D4	Cell46-D12	Cell14-B4	Cell10-B3	Cell88-B10	Cell1-A1	Cell26-A7	Cell74-D7	Cell93-B11	Cell47-F12	Cell29-E7	Cell56-E2	Cell51-E1	Cell61-H3	Cell65-F4	Cell25-E6	Cell48-H12	Cell66-A5	Cell77-G7	Cell91-E10	Cell17-G4	Cell60-G3	Cell71-E6	Cell59-E3	Cell38-E9	Cell28-D7	Cell81-E8	Cell68-C5	Cell70-E5	Cell8-G2	Cell76-F7	Cell42-F11	Cell11-E3	Cell62-A4	Cell21-H5	Cell80-C8	Cell5-B2	Cell43-G11	Cell9-H2	Cell57-H2	Cell85-G9	Cell89-C10	Cell87-A10	Cell34-C8	Cell24-D6	Cell41-E11	Cell63-D4	Cell67-B5	Cell78-H7	Cell58-D3	Cell30-F7	Cell13-H3	Cell86-H9	Cell79-B8	Cell92-A11	Cell50-B1	Cell72-G6	Cell95-G11	Cell49-A1	Cell84-F9	Cell90-D10	Cell73-B7
column_clusters-flat		1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	4	5	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	10	10	10	10	10	11	11	11	12	12	12	12	12	12	12	12
Egr1	7	-0.3948020335	-0.3948020335	7.490406242500001	-0.3948020335	-0.3948020335	-0.3948020335	-0.3948020335	8.3042150965	9.4118120295	6.9338728935	-0.3948020335	7.651175994500001	-0.3948020335	8.294671861500001	7.323491086500001	0.17079514250000005	-0.1560151735	-0.3948020335	-0.18067722849999998	8.588020460500001	6.701016922499999	8.6263722885	5.7670856485	5.666110016499999	6.732728074500001	5.187753969499999	-0.3948020335	-0.3948020335	3.3949272175	-0.18067722849999998	-0.3948020335	-0.3948020335	-0.14384045949999996	-0.3948020335	-0.14384045949999996	-0.3948020335	8.3105538825	-0.3948020335	-0.3948020335	9.333441630500001	-0.3948020335	0.4927232375	0.31889378150000003	-0.1560151735	-0.3948020335	7.4603156055	-0.3948020335	-0.3948020335	0.09062479350000002	-0.3948020335	-0.3948020335	7.1880550015	0.13126677850000001	-0.3948020335	2.8470381505	0.027430967500000014	-0.02743096749999996	-0.3948020335	-0.3948020335	0.4531948735	0.038157373500000036	-0.3948020335	-0.3948020335	-0.3948020335	-0.3948020335	-0.13176762749999998	5.998373880500001	-0.3948020335	7.2742956175	-0.3948020335	-0.10792088550000001	6.714976395500001	6.572481874499999	-0.3948020335	6.540539842499999	0.3011917795	-0.3948020335	8.1346285205	-0.3948020335	-0.3948020335	7.1090237045	4.551460950499999	-0.3948020335	0.038157373500000036	5.9762340185	6.2615513185000005	-0.3948020335	-0.3948020335	5.6072253315000005	5.6524309625	4.1393841055	6.8155283805	7.249703223499999	8.8485385885	8.151050532500001	7.732985989500001
Fos	7	4.228341414499999	1.110430920499999	1.868628480499999	-5.511974395500001	2.919227788499999	-3.6204211225000007	-6.048027295500001	3.1194912084999995	4.686699254499999	-5.077173641500001	0.9746734084999993	3.2496456115	1.0945903594999988	3.2405850444999995	2.858983519499999	4.124275194499999	-2.5964864625000006	0.8975335904999993	-6.048027295500001	3.4853803124999985	5.078986844499999	3.7375722954999997	-0.7457082445000012	1.7929394084999997	1.7816320234999994	3.770474996499999	2.734086357499999	-2.3092594585000006	-0.04240274650000053	-1.605083799500001	0.042402746499999644	-5.6806562295	-1.008011616500001	-5.726099200500001	-1.2551719435000006	-6.048027295500001	2.625458461499999	1.6222748744999995	-5.669515672500001	3.718170301499999	3.1811520234999993	-5.532012148500001	-6.048027295500001	-5.691883485500001	1.9664953794999995	-0.22147880850000057	-4.3564931305000005	-5.5938514025	1.7706187874999992	3.2898175714999986	-5.5938514025	-1.6653600425000006	-6.048027295500001	-1.4576648075000005	2.623513771499999	-6.048027295500001	-6.048027295500001	-5.472714964500001	-6.048027295500001	1.4201486994999994	-5.434495642500001	-3.8184393725000008	-6.048027295500001	-4.526976558500001	-6.048027295500001	1.7154506754999996	2.9866616384999993	-5.5626004685	-6.048027295500001	2.1967646465	2.2744867755	3.7917433794999997	2.631241662499999	-5.434495642500001	0.6775775454999993	-5.091970643500001	-4.1880577475	2.5029887674999998	1.951747265499999	-3.652964495500001	0.5146730544999993	-3.884528563500001	2.4846013624999994	1.4329648084999995	1.420881796499999	3.4862172165	1.3661082374999989	-1.126781406500001	-5.040831794500001	-0.7797426285000011	-5.542136365500001	-5.773020248500001	0.8039715414999993	3.136600140499999	0.327707243499999	-1.9220456415000005
Zfp36	7	4.154330394	2.569367893	-0.8822729350000005	-4.211054701	-2.7109810980000004	-5.281444029	-5.281444029	-4.667912376	-4.524420782	-2.086096431	4.537393752999999	-5.281444029	-4.827268136	-4.706131698	0.6024211259999994	3.822630488999999	-1.140665373	-4.6306794700000005	-5.281444029	-1.9465897600000002	4.318896353	4.395606074999999	2.7968669210000003	2.4750455779999996	2.184203997	1.1967188640000002	0.22190470600000012	2.887428623999999	-4.837837378000001	-5.281444029	3.1330720899999998	1.0496520550000001	2.8066021369999996	-2.581004311	-4.848484622	-5.281444029	2.33223495	-4.816775762	-5.281444029	4.21467074	2.3784091919999995	-5.281444029	-5.281444029	-5.281444029	3.3695717739999997	-3.082949875	2.2860557859999995	0.31727847099999984	-4.4823567230000005	-3.6773727050000002	-5.281444029	0.6889495089999995	-3.8863812290000004	-1.500084315	-4.474089107	-5.281444029	1.4434790409999998	-4.603372124	-5.281444029	2.594704523	4.01073954	5.640805861	2.1894181699999997	-5.281444029	-5.281444029	-4.4823567230000005	-5.281444029	-4.295943599	0.15051315899999995	-1.076677278	1.8602544199999995	3.7426983169999994	1.2059136859999997	3.9207042890000006	-4.177107369	2.932535022999999	-0.15051315899999995	1.6613050419999995	3.337712172999999	4.382896583	0.23646152500000017	1.9950526369999997	-0.51114354	-5.281444029	1.5587674040000001	-0.3253873770000002	0.9892717790000001	2.3933131989999996	1.869521755	2.2310989259999996	2.9138543500000003	2.220472751	-4.902932406000001	2.9629198059999995	1.4004268509999998	-1.8272681360000003
Dusp1	7	2.546815416	-0.07562179000000002	-1.001621209	6.092403678	0.07562179000000002	2.578524275	-1.001621209	5.702005562	6.17370378	5.599926752	-1.001621209	8.604024978	-1.001621209	5.120015908999999	8.438500470000001	8.574031483	6.096305564	3.396865981	7.407260451000001	0.3260661549999999	7.125805721000001	7.934133177	8.727591648	5.6352933709999995	6.152285436	7.996941015000001	5.8821217820000005	6.543034179999999	-1.001621209	-1.001621209	-1.001621209	-1.001621209	5.240409593000001	-0.6567927120000001	-0.6120543970000001	-1.001621209	6.5484329169999995	-0.5793882080000001	-1.001621209	6.6322458829999995	-1.001621209	-1.001621209	-0.378690858	-1.001621209	-0.5369529420000001	8.147744867	-1.001621209	-0.1536243020000001	1.494073954	1.215609507	-1.001621209	-1.001621209	7.640394371000001	-0.3508566500000001	7.368019756000001	-1.001621209	-1.001621209	-0.378690858	-1.001621209	-1.001621209	-1.001621209	-1.001621209	2.476056119	5.920457679	-0.32354930400000004	-1.001621209	7.816865105	-1.001621209	-1.001621209	5.432172850000001	-1.001621209	8.153551203000001	-1.001621209	-1.001621209	5.0713420629999995	3.887852334	-0.43602403300000003	6.4453793390000005	0.8503776279999999	0.348876038	-1.001621209	-1.001621209	1.52695011	0.45781041	5.351878526	-1.001621209	4.742001467	5.949430324	-1.001621209	-1.001621209	4.569752227	-1.001621209	-1.001621209	-1.001621209	-0.645477399	5.590387251999999
Jun	7	1.3740931090000004	0.38018962499999986	0.7943577690000003	-3.672921711	4.462017931999999	-0.046482573999999666	2.8795168440000003	1.374965618	3.517199262	1.459655132	1.2507029000000003	-3.672921711	2.1725683399999998	3.485233514	0.04297166000000008	2.2983919130000006	-1.9201731199999998	1.3923059120000003	-3.672921711	0.81057164	-0.3266739369999998	4.562566028	3.383119838	3.4308906180000003	0.2933241620000002	-3.672921711	2.245941526	0.5302794450000006	-0.38308724599999966	-2.026759054	1.100019627	0.7805958679999998	1.0963210840000004	-3.672921711	-1.3083492789999998	-0.014138976999999997	-2.515878001	-0.054683054999999925	-2.5888574459999996	-3.672921711	2.370816489	-3.672921711	-3.672921711	-3.434134851	-3.386040563	-3.672921711	-3.672921711	-3.672921711	0.014138976999999997	3.3142854450000003	-3.672921711	-3.672921711	-3.167030781	-1.0198616939999998	3.541883084	-3.672921711	-3.672921711	-0.3069492829999998	-3.672921711	-0.3889999390000001	-3.672921711	-3.672921711	-1.5922640479999997	-3.672921711	1.8389890380000002	1.1855566790000003	-3.672921711	-2.203035735	-3.4219601369999997	0.14162871200000016	-3.672921711	2.199907049	1.7235118199999997	-3.672921711	-3.672921711	2.6674625240000003	2.894654158	0.8705741720000004	0.9807116000000002	-3.672921711	3.396716017	-1.754535477	1.6275681330000005	0.18306798600000018	1.6726165990000004	4.00915993	0.7337510050000002	-2.933073608	2.1073883880000004	0.9364786790000004	1.541203094	1.137007155	-2.316777901	0.7007265	-0.8821496729999998	-2.218745818
Btg2	7	3.483308547	2.700632787	-1.1769295860000009	-0.9056222970000007	1.771265207999999	-3.7368519670000007	0.6711185329999996	1.078479441999999	-0.6588208460000002	3.0070413669999994	-7.466948433000001	-6.911132278	-7.203914027000001	-0.8236694370000004	1.5648492449999996	0.5602388009999988	-7.228161573	-7.077381621000001	-7.252823628000001	-6.684539868000001	-1.2574950670000007	2.9426016169999993	1.9878854739999987	0.37628171699999946	-1.0396774980000005	3.2782048469999996	-0.27219157900000024	-7.466948433000001	2.4603258309999987	-0.14790861700000058	-6.4383792810000005	-7.215986859000001	-3.4410337340000003	-1.3824589080000003	-1.3249435170000003	0.9998418049999991	0.6208856419999993	2.070464125999999	-6.8070238750000005	1.8168344699999999	-7.180067285000001	3.499470496999999	1.9545694349999998	2.575887387	1.993814604999999	-7.191941386000001	2.5313881279999997	1.3128365720000001	-7.466948433000001	1.7384538549999995	0.1479086169999997	3.4584057169999998	2.349875236999999	1.2649475609999996	2.0683658299999994	2.4955716709999987	2.9197870869999996	2.2062369519999994	-0.529721759000001	1.739406637	0.7547353479999988	-5.692952108000001	2.486956981999999	3.756281027	-6.684539868000001	2.467671266	-7.1335246990000005	1.0524126200000001	0.3240841839999993	1.8104087169999996	2.2318256759999997	3.197161027	1.716885414	-0.5616216040000008	-1.1125668010000007	-7.466948433000001	2.193439734	-0.33057245500000043	1.7486331009999994	-6.518347586000001	-6.271600835000001	-2.5547776300000002	-7.044715432	-7.033989026	-1.6409084740000006	3.0534738169999986	-7.240439903	-6.862877109000001	0.1950433819999997	-4.206922777000001	-7.466948433000001	-7.110804623000001	-2.3701805780000003	0.4770900669999989	-4.5034743090000005	-7.466948433000001
Fosb	7	0.0	0.0	3.502075956	0.0	0.0	0.0	0.0	4.04701482	6.238404739	0.0	0.0	0.0	0.0	0.0	0.0	3.904965719	0.0	0.0	0.0	0.0	4.721919446	0.0	3.375734539	0.0	0.0	0.0	0.0	4.450221496	3.030336078	0.0	0.0	0.0	3.447579197	0.0	0.0	0.0	3.008988783	2.469885976	0.0	5.166715445	2.891419187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.963474124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.263034406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.782408565	0.0	0.0	1.811471031	0.176322773	4.381283373	0.0	0.0	0.0	1.220329955	0.0	0.0	0.0	1.292781749
Cpa3	7	8.977108164	0.0	0.0	0.0	0.831877241	0.0	0.0	12.76580614	11.06973841	1.678071905	0.0	0.0	0.941106311	1.150559677	0.0	1.09085343	0.0	0.0	0.0	4.414812061	0.0	12.39297743	10.9825587	0.0	0.0	10.8704649	0.0	7.21451341	0.5360529	0.0	0.0	0.0	0.0	0.0	0.526068812	9.40641762	0.0	0.0	0.0	7.011339088	4.016139703	0.0	0.0	1.443606651	0.613531653	0.584962501	0.887525271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.847996907	0.757023247	2.003602237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.137503524	0.0	0.0	0.0	0.604071324	2.014355293	0.659924558	0.0	0.0	0.0	0.739848103	0.0	0.0	0.0	0.687060688	0.432959407	0.0	0.0	0.367371066	0.464668267	0.0	0.0	0.0	0.0	0.713695815	0.713695815	0.0	0.0	0.0	0.0
Csrp3	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03562391	0.0	0.0	0.0	0.0	0.0	6.061992154	0.0	0.0	0.0	7.286511558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
