GeneID	SystemCode	LogFold	rawp	adjp	Symbol	avg-AML	avg-cellHarmony-Reference
ENSMUSG00000036192	En	1.17470691711	1.7634086744e-109	2.82321728772e-105	Rorb	1.17594924576	0.00124232865489
ENSMUSG00000083192	En	-4.10630513762	7.41236302749e-86	5.9335966035e-82	Rpl31-ps12	0.316203149875	4.42250828749
Gm6251	Sy	3.43196710158	2.85159444435e-79	1.5218009018e-75	Gm6251	3.94916918524	0.517202083658
ENSMUSG00000036594	En	6.73838640792	7.26833152704e-59	2.9091496937e-55	H2-Aa	7.25697922004	0.518592812125
ENSMUSG00000024610	En	6.68928515743	1.88252164392e-56	6.02783430383e-53	Cd74	7.40097283762	0.711687680196
ENSMUSG00000060586	En	5.19554358021	1.57948699329e-49	3.68392423901e-46	H2-Eb1	5.44735237687	0.251808796666
ENSMUSG00000044285	En	2.06636840437	1.61071016072e-49	3.68392423901e-46	Gm1821	8.44491708573	6.37854868136
ENSMUSG00000073421	En	6.28333839175	4.46144039271e-47	8.92845758592e-44	H2-Ab1	7.60930617769	1.32596778593
Rn4.5s	Sy	3.36461475727	1.15381729808e-45	2.05251277136e-42	Rn4.5s	9.00460095184	5.63998619457
ENSMUSG00000046687	En	3.05442273815	3.44156775778e-45	5.50994998021e-42	Gm5424	3.19248379723	0.138061059076
ENSMUSG00000002944	En	3.68755507163	1.97320839927e-44	2.87191513384e-41	Cd36	3.68942208436	0.00186701273913
ENSMUSG00000020027	En	3.81808449951	3.25392961536e-41	4.34128442849e-38	Socs2	4.15792034627	0.339835846764
ENSMUSG00000025279	En	3.63717000418	7.59785140781e-41	9.35704623377e-38	Dnase1l3	3.64210363306	0.00493362888315
ENSMUSG00000030214	En	4.65366350116	2.04850403025e-40	2.34261068031e-37	Plbd1	5.0276674192	0.374003918035
ENSMUSG00000022659	En	2.64678783401	1.21380288667e-36	1.29553228104e-33	Gcsam	2.719704159	0.0729163249891
ENSMUSG00000005947	En	2.85826098901	3.01456501599e-35	3.01644911913e-32	Itgae	2.87172001742	0.0134590284049
ENSMUSG00000029413	En	4.1584208306	6.96371761998e-35	6.55818347623e-32	Naaa	4.75392784521	0.595507014606
ENSMUSG00000054203	En	3.59830100958	3.71027276302e-34	3.30008149645e-31	Ifi205	3.74994808746	0.151647077883
ENSMUSG00000093809	En	3.09018489867	2.23871270161e-33	1.88641001856e-30	Bcl2a1a	3.1181616614	0.0279767627228
ENSMUSG00000060509	En	2.92076732857	1.32710068459e-31	1.03746115067e-28	Xcr1	3.48174949949	0.560982170918
ENSMUSG00000015766	En	2.52512740802	1.36081724948e-31	1.03746115067e-28	Eps8	2.79999172732	0.274864319307
ENSMUSG00000091269	En	1.22693846473	3.1590063175e-31	2.29889505196e-28	Gm6682	1.39326931265	0.166330847913
ENSMUSG00000026833	En	2.30002725603	8.51237011495e-31	5.9253498061e-28	Olfm1	2.33881253913	0.0387852830978
ENSMUSG00000069833	En	1.99438801557	1.02782059609e-30	6.85641989306e-28	Ahnak	2.32149480456	0.327106788995
Rn45s	Sy	-1.1310266768	1.2181170222e-30	7.80082141017e-28	Rn45s	10.2107584192	11.341785096
ENSMUSG00000096581	En	3.02499274221	1.57759925404e-30	9.71437079121e-28	Bcl2a1d	3.16435886298	0.139366120769
ENSMUSG00000001025	En	3.81343205527	2.58364994303e-29	1.53200872548e-26	S100a6	4.7913449379	0.977912882622
ENSMUSG00000032076	En	1.97030904186	6.97328255515e-29	3.98722334671e-26	Cadm1	1.98510942007	0.014800378212
ENSMUSG00000050335	En	3.5378648616	8.23423446945e-29	4.54586530538e-26	Lgals3	4.18596277324	0.648097911644
ENSMUSG00000046080	En	2.3848548483	1.22073904332e-28	6.51467736121e-26	Clec9a	2.47530091468	0.0904460663723
ENSMUSG00000038179	En	2.31400500619	2.98530990243e-28	1.54176811413e-25	Slamf7	2.39765000972	0.0836450035299
ENSMUSG00000022456	En	2.01719272074	6.22308104762e-28	3.11348523664e-25	Sept3	2.04218767149	0.0249949507527
ENSMUSG00000001270	En	2.82906839689	1.36805606538e-27	6.63714472929e-25	Ckb	3.0271552785	0.198086881611
ENSMUSG00000026630	En	2.35999942045	2.89208646363e-26	1.3618324789e-23	Batf3	2.4376928891	0.0776934686495
ENSMUSG00000048534	En	2.57661777318	7.95659713541e-26	3.63957486108e-23	Amica1	2.77532709259	0.198709319416
ENSMUSG00000031639	En	1.92000604303	2.18834143009e-25	9.7320406377e-23	Tlr3	1.96986983081	0.0498637877799
ENSMUSG00000025473	En	1.93558867822	5.87460418643e-25	2.54195710878e-22	Adam8	2.00634955533	0.0707608771141
ENSMUSG00000041362	En	1.44187900091	1.07018483725e-24	4.4523936914e-22	4930506M07Rik	1.49834519193	0.0564661910136
ENSMUSG00000018819	En	4.81597856514	1.0845930916e-24	4.4523936914e-22	Lsp1	8.4888922223	3.67291365716
ENSMUSG00000090159	En	1.80051623148	1.54726342105e-24	6.19292184275e-22	Gm8580	2.585450307	0.784934075516
ENSMUSG00000020644	En	4.51241326992	4.54517140594e-24	1.7748340051e-21	Id2	6.41427934944	1.90186607951
ENSMUSG00000052013	En	2.47238870134	5.15792609279e-24	1.96615230347e-21	Btla	2.70307307526	0.230684373924
ENSMUSG00000020399	En	2.14342390141	5.64863190767e-24	2.10313015911e-21	Havcr2	2.21806137818	0.074637476769
ENSMUSG00000047462	En	1.88478281649	7.87629014522e-24	2.86589557329e-21	A530099J19Rik	1.88478281649	0.0
ENSMUSG00000021200	En	1.48070291499	1.7274120981e-23	6.14574837569e-21	Asb2	1.48070291499	0.0
ENSMUSG00000045326	En	1.21291450973	2.02942168357e-22	7.06326981607e-20	Fndc7	1.21722979107	0.00431528134511
ENSMUSG00000039062	En	1.43197346885	3.16534992499e-22	1.07823941062e-19	Anpep	1.46461774749	0.0326442786359
ENSMUSG00000089929	En	2.13177831474	1.25268851221e-21	4.17823814177e-19	Bcl2a1b	2.27144058516	0.139662270421
ENSMUSG00000044156	En	1.67937215476	2.76481991609e-21	9.03362588909e-19	Hepacam2	1.67937215476	0.0
ENSMUSG00000068566	En	3.01276163365	4.2137175852e-21	1.34923237078e-18	Myadm	4.21080315433	1.19804152068
ENSMUSG00000044703	En	2.73282524472	7.81657254939e-21	2.45379071599e-18	Phf11a	3.30675487882	0.573929634106
ENSMUSG00000037362	En	1.33055301247	1.3185368424e-20	4.05957208594e-18	Nov	1.33055301247	0.0
ENSMUSG00000060591	En	-2.87013843763	2.04474004038e-20	6.17665812197e-18	Ifitm2	7.06159401006	9.9317324477
ENSMUSG00000021211	En	2.11848951911	3.15950289223e-20	9.36734098234e-18	Akr1c12	2.40626224301	0.287772723902
ENSMUSG00000032578	En	2.29498303724	4.22007522916e-20	1.22842553489e-17	Cish	2.66542185763	0.37043882038
ENSMUSG00000024397	En	2.77592188714	9.45493785961e-20	2.70309919879e-17	Aif1	3.34456207901	0.568640191867
ENSMUSG00000021270	En	-1.99974591949	1.03801224403e-19	2.91553965386e-17	Hsp90aa1	7.60575553322	9.60550145271
ENSMUSG00000051682	En	1.79703424908	1.14632879887e-19	3.16426277067e-17	Treml4	1.84188815507	0.0448539059918
ENSMUSG00000022901	En	2.10375680742	1.22080110497e-19	3.31271621873e-17	Cd86	2.3008158997	0.197059092283
ENSMUSG00000011256	En	1.18186128595	1.94152699489e-19	5.18064119802e-17	Adam19	1.18373248468	0.00187119872554
ENSMUSG00000001281	En	1.9552569931	3.7794994402e-19	9.91963705534e-17	Itgb7	2.33309727717	0.377840284071
