GeneID	SystemCode	LogFold	rawp	adjp	Symbol	avg-DC_AML__co-2-Query	avg-DC_AML__co-2-Ref
ENSMUSG00000083192	En	-4.54522399395	2.77239063474e-52	4.03632352511e-48	Rpl31-ps12	0.268219730255	4.8134437242
ENSMUSG00000036192	En	1.2007397156	2.62566619092e-44	1.91135370368e-40	Rorb	1.20350888067	0.002769165064
Gm6251	Sy	3.51816540498	2.30714046054e-43	1.1196552655e-39	Gm6251	3.93230718765	0.414141782672
ENSMUSG00000036594	En	10.2788077767	1.86190555425e-39	6.77687074109e-36	H2-Aa	10.8447565409	0.5659487642
ENSMUSG00000024610	En	10.141086429	8.18083504212e-39	2.38209554756e-35	Cd74	10.747900224	0.606813795024
ENSMUSG00000073421	En	9.66711270159	2.36697458508e-37	5.7434638307e-34	H2-Ab1	11.0532868369	1.38617413531
ENSMUSG00000060586	En	8.48288025603	2.16885018712e-36	4.51089855347e-33	H2-Eb1	8.80531878114	0.322438525104
ENSMUSG00000034220	En	-4.98033234206	9.6546622957e-36	1.75702785454e-32	Gpc1	0.145861599235	5.1261939413
ENSMUSG00000032786	En	-6.40701406937	3.3782619613e-35	5.46490176606e-32	Alas1	2.09679067027	8.50380473965
ENSMUSG00000002944	En	6.49420498304	4.40986551252e-35	6.42032319968e-32	Cd36	6.49420498304	0.0
ENSMUSG00000030214	En	7.63060706185	1.01867829235e-33	1.34826702348e-30	Plbd1	7.98515579576	0.354548733912
ENSMUSG00000020125	En	-8.19750542996	2.04949892107e-32	2.48655456599e-29	Elane	4.75727601241	12.9547814424
ENSMUSG00000035004	En	-5.91864783558	5.21762655408e-32	5.84334038468e-29	Igsf6	2.06667072157	7.98531855714
ENSMUSG00000020644	En	7.88989302385	1.61285770695e-30	1.67725681111e-27	Id2	8.91439479837	1.02450177452
ENSMUSG00000040314	En	-7.04206466761	6.18023582127e-30	5.99853688812e-27	Ctsg	3.86582099712	10.9078856647
ENSMUSG00000060509	En	5.4563445408	1.54589594158e-29	1.40666868834e-26	Xcr1	5.96528153765	0.508936996848
Rn4.5s	Sy	3.76415388111	2.73755617244e-29	2.34447531262e-26	Rn4.5s	8.93024698494	5.16609310383
ENSMUSG00000022584	En	-7.60956109345	6.49639879465e-29	5.25450389174e-26	Ly6c2	3.75303760388	11.3625986973
ENSMUSG00000029322	En	-6.09154583845	7.11496861811e-29	5.45193832164e-26	Plac8	6.38729533175	12.4788411702
ENSMUSG00000057729	En	-7.02435979017	1.34418144676e-28	9.7849688417e-26	Prtn3	4.25558899543	11.2799487856
ENSMUSG00000009350	En	-7.39114152952	3.07476430104e-28	2.13169016471e-25	Mpo	6.24517024925	13.6363117788
ENSMUSG00000096581	En	5.65917915399	4.42480893133e-28	2.92821787415e-25	Bcl2a1d	5.73785930806	0.078680154064
ENSMUSG00000018819	En	7.38263828421	8.20254727458e-28	5.19221242481e-25	Lsp1	9.90080309212	2.51816480791
ENSMUSG00000005947	En	5.09740545173	1.68147023887e-27	1.02002188365e-24	Itgae	5.12899425851	0.031588806776
ENSMUSG00000024480	En	-5.05613974345	6.73554971007e-27	3.92251472916e-24	Ap3s1	2.97419000139	8.03032974484
ENSMUSG00000000594	En	3.00233949855	1.21158409231e-26	6.78440492303e-24	Gm2a	10.9998684469	7.99752894838
ENSMUSG00000093809	En	5.61344103675	1.45203121442e-26	7.82967498176e-24	Bcl2a1a	5.67702330096	0.063582264208
ENSMUSG00000030978	En	-5.37324209397	7.39821678347e-26	3.84680850538e-23	Rrm1	1.81760280133	7.1908448953
ENSMUSG00000006728	En	-4.99031924547	1.14348019828e-25	5.74066489889e-23	Cdk4	4.07308288467	9.06340213014
ENSMUSG00000068129	En	-5.54558696671	1.21363273018e-25	5.88975963955e-23	Cst7	2.87414521557	8.41973218228
ENSMUSG00000027447	En	3.88943085097	1.86000021676e-25	8.73540101801e-23	Cst3	13.8447190322	9.95528818122
ENSMUSG00000026202	En	-5.42108267548	1.99241903377e-25	9.06488397268e-23	Tuba4a	3.45641013463	8.87749281011
ENSMUSG00000034353	En	-4.40383765903	2.23489528923e-25	9.85995167148e-23	Ramp1	3.12344790373	7.52728556275
ENSMUSG00000029413	En	6.69236760549	2.51906836888e-25	1.0651145829e-22	Naaa	7.83114678288	1.13877917739
ENSMUSG00000024681	En	-6.29197603358	2.56054745529e-25	1.0651145829e-22	Ms4a3	3.47517929086	9.76715532444
