GeneID	SystemCode	LogFold	rawp	adjp	Symbol	avg-HSCP-2_AML	avg-HSCP-2_cellHarmony-Reference
ENSMUSG00000036192	En	1.2691589742	5.57983105963e-35	7.61479544708e-31	Rorb	1.2691589742	0.0
ENSMUSG00000038357	En	2.76910096291	4.29403204185e-26	2.93003276375e-22	Camp	2.7915843727	0.0224834097931
ENSMUSG00000025279	En	0.9476615553	9.74281631437e-25	4.43200714141e-21	Dnase1l3	0.9476615553	0.0
ENSMUSG00000002944	En	0.5884710145	8.27662757338e-21	2.82377841235e-17	Cd36	0.5884710145	0.0
Chil3	Sy	1.46427832312	3.83119890674e-20	1.04568742961e-16	Chil3	1.4711122145	0.00683389137931
ENSMUSG00000032496	En	1.18574149389	9.31791920587e-19	2.11936072337e-15	Ltf	1.1898351009	0.00409360701149
ENSMUSG00000086503	En	3.26813673095	2.65805387098e-16	4.77258806646e-13	Xist	3.39019738	0.122060649046
ENSMUSG00000026070	En	4.53567192043	2.79773609817e-16	4.77258806646e-13	Il18r1	4.7426442858	0.206972365368
ENSMUSG00000046687	En	2.78705991284	1.09166845618e-14	1.65533326905e-11	Gm5424	2.9126503465	0.125590433655
ENSMUSG00000020027	En	7.45748969587	2.41323282595e-14	3.29333883757e-11	Socs2	8.4448100244	0.987320328529
ENSMUSG00000056054	En	3.778217085	4.68300072353e-13	5.80990098855e-10	S100a8	4.1935307103	0.415313625299
Gm6251	Sy	3.74362962413	6.44480831422e-13	7.32935825535e-10	Gm6251	4.3863085412	0.642678917069
ENSMUSG00000071516	En	3.32613769637	1.17306352056e-12	1.23144598962e-09	Hist1h2ai	3.5698812006	0.24374350423
ENSMUSG00000026822	En	1.3428013443	3.22041525411e-11	2.92993379819e-08	Lcn2	1.3428013443	0.0
ENSMUSG00000078922	En	4.91604287133	4.12110784863e-11	3.51504742564e-08	Tgtp1	5.4916654298	0.575622558471
ENSMUSG00000022995	En	2.04673357811	7.3364095523e-11	5.88941065648e-08	Enah	2.1774657587	0.130732180586
ENSMUSG00000036256	En	2.69378689717	9.46585957747e-11	7.17669920298e-08	Igfbp7	2.7596937547	0.0659068575287
ENSMUSG00000032484	En	3.37980012913	1.19514603525e-10	8.58429365427e-08	Ngp	3.6794256401	0.299625510966
ENSMUSG00000024053	En	3.82985354957	2.50173538901e-10	1.70705914269e-07	Emilin2	4.1154506021	0.285597052529
ENSMUSG00000029101	En	3.32157417693	4.22621565167e-10	2.74643642849e-07	Rgs12	3.7141718329	0.392597655966
ENSMUSG00000002565	En	4.38302236858	5.40200297556e-10	3.35096066397e-07	Scin	4.7342192814	0.351196912816
ENSMUSG00000079014	En	1.56631657769	6.00678519357e-10	3.56411293638e-07	Serpina3i	1.7622251752	0.195908597506
ENSMUSG00000024065	En	2.3381791079	1.70028895656e-09	9.66826807921e-07	Ehd3	2.3381791079	0.0
ENSMUSG00000090159	En	3.11966096573	2.61263154582e-09	1.42618330823e-06	Gm8580	3.6114872625	0.49182629677
ENSMUSG00000056071	En	3.43608650205	2.83780466339e-09	1.48952000928e-06	S100a9	3.785854428	0.349767925954
ENSMUSG00000021211	En	4.13129659844	2.95085642565e-09	1.4914939867e-06	Akr1c12	4.5473534672	0.416056868759
ENSMUSG00000026835	En	0.6129223923	3.64184480888e-09	1.77500914667e-06	Fcnb	0.6129223923	0.0
ENSMUSG00000066363	En	3.72902012025	9.69325677936e-09	4.56151294027e-06	Serpina3f	3.9860950312	0.257074910954
ENSMUSG00000036067	En	1.771062568	1.24793011658e-08	5.67683410034e-06	Slc2a6	1.771062568	0.0
ENSMUSG00000083192	En	-3.63038797298	3.22843539066e-08	1.42124057343e-05	Rpl31-ps12	0.459706629	4.09009460198
ENSMUSG00000039982	En	1.92366828402	3.57024202775e-08	1.47645736221e-05	Dtx4	2.0024222268	0.0787539427816
ENSMUSG00000028108	En	2.3199985841	4.41426062889e-08	1.76138695448e-05	Ecm1	2.3199985841	0.0
ENSMUSG00000089255	En	3.3999790385	4.51736963484e-08	1.76138695448e-05	Snora78	3.7121291833	0.312150144805
ENSMUSG00000064267	En	1.76281799585	5.40803410011e-08	2.05009559345e-05	Hvcn1	1.7704033356	0.00758533974713
ENSMUSG00000087150	En	4.41621843046	5.64923139303e-08	2.08365029245e-05	BC064078	5.1044614712	0.688243040736
ENSMUSG00000032323	En	2.47453204553	9.12621335628e-08	3.27751141245e-05	Cyp11a1	2.5436830766	0.069151031069
ENSMUSG00000037362	En	2.0518437018	1.40240712659e-07	4.90734616834e-05	Nov	2.0518437018	0.0
5830416I19Rik	Sy	0.589282827068	2.42004361995e-07	8.25658382036e-05	5830416I19Rik	0.5979842437	0.00870141663218
ENSMUSG00000044285	En	2.01668182239	3.12695020304e-07	0.000104081681514	Gm1821	8.54655516	6.52987333761
ENSMUSG00000001025	En	5.00561785848	7.07411970539e-07	0.00022451281772	S100a6	6.3735629158	1.36794505732
ENSMUSG00000041272	En	4.18503020386	7.90493076031e-07	0.000245178613832	Tox	5.03679894	0.851768736138
ENSMUSG00000001348	En	2.16675993536	8.26449690343e-07	0.000250634642758	Acp5	2.2396188718	0.0728589364368
ENSMUSG00000016028	En	0.962099101852	9.52228560515e-07	0.00028250137316	Celsr1	0.9708495073	0.00875040544828
ENSMUSG00000029413	En	0.950909235697	1.08015740121e-06	0.000313636341582	Naaa	1.0617423408	0.110833105103
ENSMUSG00000034892	En	0.941536110368	1.14448834264e-06	0.000325392341916	Rps29	12.240462308	11.2989261976
ENSMUSG00000091269	En	1.06508914456	1.82662382892e-06	0.000498558707864	Gm6682	1.1989659317	0.133876787138
ENSMUSG00000004558	En	1.92670641122	2.16002015097e-06	0.000577995980399	Ndrg2	2.0663761827	0.139669771483
ENSMUSG00000079481	En	1.58756975765	2.97771084006e-06	0.000766732449703	Nhsl2	1.7036133726	0.116043614954
ENSMUSG00000025608	En	0.6651705034	3.46446311964e-06	0.000875546818402	Podxl	0.6651705034	0.0
ENSMUSG00000068396	En	1.73901943551	4.37517337787e-06	0.00108559983796	Rpl34-ps1	11.307478083	9.56845864749
ENSMUSG00000002808	En	2.17805323856	5.37728644203e-06	0.00131042550133	Epdr1	2.2753592375	0.0973059989425
ENSMUSG00000024925	En	3.40797468747	5.67150843363e-06	0.00135787851919	Rnaseh2c	4.3012291786	0.893254491126
Rn4.5s	Sy	3.48466381876	6.57120210694e-06	0.00154615853713	Rn4.5s	9.5531559352	6.06849211644
ENSMUSG00000036103	En	-1.93352274714	6.79213455076e-06	0.00157105525787	Colec12	2.9776539834	4.91117673054
ENSMUSG00000020525	En	1.97904981491	8.77954136298e-06	0.00199690668301	Ppm1d	2.2073531939	0.228303378989
