GeneID	SystemCode	LogFold	rawp	adjp	Symbol	avg-IG2_AML__co-4-Query	avg-IG2_AML__co-4-Ref
ENSMUSG00000020027	En	7.17221739899	1.3368302402e-83	1.94548904856e-79	Socs2	7.21319947853	0.0409820795448
ENSMUSG00000036192	En	1.13497103409	5.94348516721e-67	4.32477698192e-63	Rorb	1.13812397853	0.00315294444828
ENSMUSG00000024610	En	3.00880402147	1.51012119486e-53	7.32559791625e-50	Cd74	3.14980621203	0.141002190566
ENSMUSG00000036594	En	2.80237536091	2.58427485591e-53	9.40223799451e-50	H2-Aa	2.92283503537	0.120459674455
ENSMUSG00000083192	En	-4.28711491554	4.39469069327e-41	1.27911867318e-37	Rpl31-ps12	0.578830167933	4.86594508348
ENSMUSG00000046687	En	5.07879669478	7.78260340208e-38	1.88767045517e-34	Gm5424	5.2515555017	0.172758806924
ENSMUSG00000025279	En	0.7708775828	1.25836417403e-36	2.61613911781e-33	Dnase1l3	0.7708775828	0.0
ENSMUSG00000001020	En	5.84417817606	7.06764734375e-36	1.28569339742e-32	S100a4	6.07010606093	0.225927884876
Gm6251	Sy	4.08926464807	2.01142216293e-35	3.25246963745e-32	Gm6251	4.6254673287	0.536202680634
ENSMUSG00000025491	En	9.13524082624	3.03001793421e-31	4.40958509965e-28	Ifitm1	11.8471482185	2.71190739226
ENSMUSG00000001025	En	5.92117001513	1.08218193812e-25	1.31241614545e-22	S100a6	6.86146511637	0.940295101234
ENSMUSG00000020125	En	-5.73592974826	1.30831542452e-24	1.46460879793e-21	Elane	7.45410606717	13.1900358154
Rn4.5s	Sy	3.97287868244	2.53743356942e-24	2.63766219541e-21	Rn4.5s	9.26363425157	5.29075556913
ENSMUSG00000024053	En	4.64222750418	5.37672504176e-24	5.21649863551e-21	Emilin2	5.6014039995	0.959176495324
ENSMUSG00000073940	En	4.4233469568	6.59760597035e-24	5.64793880509e-21	Hbb-b2	4.4349818581	0.0116349012966
Hbb-bt	Sy	4.4233469568	6.59760597035e-24	5.64793880509e-21	Hbb-bt	4.4349818581	0.0116349012966
ENSMUSG00000044258	En	3.72970716339	5.00589533025e-23	4.0472663745e-20	Ctla2a	6.47503272313	2.74532555974
ENSMUSG00000034220	En	-4.79544318275	5.60430684686e-23	4.29260408118e-20	Gpc1	0.282973315033	5.07841649778
ENSMUSG00000032496	En	1.16284970462	2.8288710777e-22	2.05842803969e-19	Ltf	1.2820565893	0.119206884683
ENSMUSG00000037362	En	2.90430159807	3.4315611865e-22	2.37807190225e-19	Nov	2.90430159807	0.0
ENSMUSG00000044285	En	2.32350759387	3.59412025244e-21	2.37751054699e-18	Gm1821	8.58897675367	6.26546915979
ENSMUSG00000021211	En	3.80782490461	6.66934491073e-21	4.21995549939e-18	Akr1c12	4.0083900235	0.20056511889
ENSMUSG00000036256	En	2.3755415346	1.50094614958e-20	9.10136221451e-18	Igfbp7	2.3755415346	0.0
ENSMUSG00000091269	En	1.51585144861	5.8697208419e-20	3.41688189649e-17	Gm6682	1.6517898308	0.135938382193
ENSMUSG00000037169	En	3.08948251617	6.82122798946e-20	3.81805118964e-17	Mycn	3.09416011777	0.0046776015931
ENSMUSG00000032484	En	2.80224350215	1.41800760495e-19	7.6430609907e-17	Ngp	3.27404195813	0.471798455986
ENSMUSG00000041481	En	5.77781556733	1.52092312541e-19	7.9049979443e-17	Serpina3g	7.28151549493	1.50369992761
ENSMUSG00000060802	En	1.24181447351	2.18512786874e-19	1.09655744392e-16	B2m	12.3065293003	11.0647148268
ENSMUSG00000035004	En	-4.73265501	7.06904365554e-18	3.4291930773e-15	Igsf6	3.1593627755	7.8920177855
ENSMUSG00000032578	En	2.98201610373	8.42777024845e-18	3.95643033631e-15	Cish	3.12544378857	0.143427684834
ENSMUSG00000009350	En	-2.72742734835	9.75657789426e-18	4.43710869047e-15	Mpo	11.2568429561	13.9842703044
ENSMUSG00000041272	En	2.71792119543	2.38080814898e-17	1.0499363937e-14	Tox	2.71792119543	0.0
ENSMUSG00000057322	En	0.958113045717	1.19270474791e-16	5.10512711657e-14	Rpl38	11.2077401552	10.2496271095
ENSMUSG00000032786	En	-3.7682660596	1.40204812407e-16	5.82971609989e-14	Alas1	4.80956439207	8.57783045166
ENSMUSG00000002565	En	2.78651805657	2.05254076404e-16	8.08421882127e-14	Scin	2.89506611473	0.108548058166
Rn45s	Sy	-1.36696835896	2.05535694625e-16	8.08421882127e-14	Rn45s	10.1823860725	11.5493544315
ENSMUSG00000078922	En	2.52053814789	3.40017208097e-16	1.3021764288e-13	Tgtp1	2.63201654673	0.111478398848
ENSMUSG00000060586	En	1.36872833331	4.42642683902e-16	1.6517381997e-13	H2-Eb1	1.46230223087	0.0935738975517
ENSMUSG00000056071	En	2.76770462216	4.90458777864e-16	1.78441164856e-13	S100a9	3.62712226767	0.85941764551
ENSMUSG00000087150	En	5.29888211619	1.21651500228e-15	4.31803483616e-13	BC064078	6.71911130573	1.42022918954
ENSMUSG00000057729	En	-2.12732828493	2.37643158974e-15	8.23433545846e-13	Prtn3	9.4644365545	11.5917648394
ENSMUSG00000034892	En	0.737573652839	2.45577484731e-15	8.31137008207e-13	Rps29	12.0945626637	11.3569890108
ENSMUSG00000079014	En	0.654744015602	6.60105242408e-15	2.18329808926e-12	Serpina3i	0.708345977333	0.053601961731
ENSMUSG00000068396	En	0.850797715809	6.77791564379e-15	2.1919779192e-12	Rpl34-ps1	10.8772405849	10.0264428691
ENSMUSG00000026070	En	2.24579818271	2.5343310648e-14	8.01785217088e-12	Il18r1	2.26042243567	0.0146242529517
ENSMUSG00000090159	En	2.21860809015	5.0845172716e-14	1.55049163294e-11	Gm8580	3.14124553327	0.922637443117
ENSMUSG00000066363	En	3.28704866423	5.11396951702e-14	1.55049163294e-11	Serpina3f	3.51883612197	0.231787457738
ENSMUSG00000005474	En	1.7757049853	8.72019023145e-14	2.58989649874e-11	Myl10	1.7757049853	0.0
ENSMUSG00000018819	En	5.03521932169	1.51741496628e-13	4.41658800087e-11	Lsp1	7.25737646383	2.22215714214
ENSMUSG00000028434	En	2.78866963889	1.65074053876e-13	4.71043667855e-11	Epb4.1l4b	3.02900582513	0.240336186248
ENSMUSG00000032323	En	2.18630212	1.84318692302e-13	5.11875162183e-11	Cyp11a1	2.18630212	0.0
ENSMUSG00000047565	En	0.801794943948	1.86417807982e-13	5.11875162183e-11	Acot10	0.8322659035	0.0304709595517
ENSMUSG00000069833	En	1.8934472991	2.58727577144e-13	6.97270820402e-11	Ahnak	2.2056551351	0.312207836
ENSMUSG00000030214	En	1.01388930467	3.40391165144e-13	8.84591540418e-11	Plbd1	1.02936379467	0.01547449
ENSMUSG00000047867	En	3.12297560674	4.38024428172e-13	1.11834552687e-10	Gimap6	3.5233364762	0.400360869462
ENSMUSG00000014846	En	2.07715807844	4.64153657881e-13	1.16462554882e-10	Tppp3	2.10603584977	0.028877771331
ENSMUSG00000074874	En	3.16250861163	6.28881660613e-13	1.55120589948e-10	Ctla2b	3.4913562078	0.328847596172
ENSMUSG00000048376	En	2.45956569337	9.21708449232e-13	2.23560384361e-10	F2r	2.57626291457	0.116697221193
ENSMUSG00000079641	En	0.909959186733	1.25564366995e-12	2.99563644734e-10	Rpl39	11.1081336313	10.1981744446
ENSMUSG00000022769	En	-3.5547251255	1.38141963936e-12	3.24254838896e-10	Sdf2l1	2.9515226386	6.5062477641
ENSMUSG00000039315	En	2.27748966958	2.10478302712e-12	4.86204879264e-10	Clnk	2.4044352563	0.126945586724
ENSMUSG00000017144	En	1.53410410518	2.57631875529e-12	5.85830731964e-10	Rnd3	1.55683849673	0.0227343915517
I730030J21Rik	Sy	3.86475231655	2.81487641342e-12	6.3022917607e-10	I730030J21Rik	4.91918048113	1.05442816458
ENSMUSG00000015766	En	2.10046655557	3.2175809697e-12	7.09476603818e-10	Eps8	2.26212359557	0.161657039993
ENSMUSG00000038357	En	1.90345898167	6.7701747043e-12	1.47054257421e-09	Camp	2.3549732181	0.451514236434
2210039B01Rik	Sy	1.88060206923	7.43235833261e-12	1.59063398257e-09	2210039B01Rik	2.66289896397	0.782296894738
ENSMUSG00000021384	En	3.12572715341	9.21229894238e-12	1.94299400737e-09	Susd3	3.7065925438	0.580865390393
ENSMUSG00000040314	En	-1.18707010621	1.00131083008e-11	2.08172521575e-09	Ctsg	10.0182759607	11.2053460669
ENSMUSG00000003038	En	-0.96178207048	1.9905384775e-11	4.02337589765e-09	Hmgn2	10.3863096121	11.3480916826
ENSMUSG00000020732	En	2.36592328267	3.31377479383e-11	6.60621432529e-09	Rab37	2.64818678263	0.282263499966
ENSMUSG00000042757	En	1.48319801428	3.71844577021e-11	7.31277585053e-09	Tmem108	1.60395279563	0.120754781352
ENSMUSG00000025330	En	2.31614676571	3.97869263571e-11	7.72025519033e-09	Padi4	2.7027548193	0.386608053586
ENSMUSG00000052730	En	1.8110709846	4.18894012013e-11	8.02126915372e-09	Gm5111	1.8110709846	0.0
ENSMUSG00000030742	En	1.90182274272	5.48336838104e-11	1.03635662402e-08	Lat	2.0023218464	0.100499103683
ENSMUSG00000020644	En	2.51608263404	6.07143753227e-11	1.13279013342e-08	Id2	3.05871617653	0.542633542497
ENSMUSG00000059588	En	3.41453021881	6.4532083603e-11	1.18877900339e-08	Calcrl	5.21473608853	1.80020586972
ENSMUSG00000079435	En	0.780711293438	7.03082342796e-11	1.27570911443e-08	Rpl36a	10.7966096019	10.0158983085
ENSMUSG00000082286	En	3.73492517021	7.1004217872e-11	1.27570911443e-08	Pisd-ps1	5.4795607548	1.74463558459
ENSMUSG00000025130	En	-1.92927663878	7.27046158433e-11	1.29032960289e-08	P4hb	7.72173748813	9.65101412691
ENSMUSG00000059498	En	-4.41773698141	8.17088038126e-11	1.43266050829e-08	Fcgr3	3.14345885873	7.56119584014
ENSMUSG00000028063	En	1.62015483307	9.3157383932e-11	1.61395167662e-08	Lmna	1.62015483307	0.0
ENSMUSG00000032353	En	-3.07300989943	1.08767705569e-10	1.85078495099e-08	Tmed3	5.7770907324	8.85010063183
ENSMUSG00000022584	En	-5.10924786209	1.09370924061e-10	1.85078495099e-08	Ly6c2	5.55575369167	10.6650015538
ENSMUSG00000024681	En	-3.49167542521	1.13028278453e-10	1.89069027164e-08	Ms4a3	6.4712852525	9.96296067771
ENSMUSG00000067288	En	0.672119980028	1.87569786833e-10	3.06708214358e-08	Rps28	11.5293997694	10.8572797894
ENSMUSG00000026748	En	1.1393075009	2.08455506859e-10	3.37072554591e-08	Plxdc2	1.1393075009	0.0
ENSMUSG00000017002	En	-4.39881813344	2.36178938202e-10	3.73599139963e-08	Slpi	3.11961968927	7.5184378227
