GeneID	SystemCode	LogFold	rawp	adjp	Symbol	avg-Mono_AML	avg-Mono_cellHarmony-Reference
ENSMUSG00000020027	En	6.25689910512	3.3559049651e-53	4.75565292605e-49	Socs2	6.301072901	0.044173795875
ENSMUSG00000036192	En	1.17302466629	2.20010351983e-45	1.55888334898e-41	Rorb	1.17590921324	0.00288454694167
ENSMUSG00000024610	En	2.97739158991	2.33138676666e-43	1.10126939568e-39	Cd74	3.10875327147	0.131361681558
ENSMUSG00000036594	En	3.07253067137	5.51053721187e-43	1.95224557074e-39	H2-Aa	3.16325866447	0.0907279931
ENSMUSG00000046687	En	5.60147463138	5.60710267882e-35	1.58916504123e-31	Gm5424	5.79908202159	0.197607390208
Gm6251	Sy	4.30346121813	6.71612065895e-31	1.5862357643e-27	Gm6251	4.73485890841	0.431397690283
ENSMUSG00000083192	En	-4.30415947575	2.97759001625e-27	6.02791830289e-24	Rpl31-ps12	0.627029666412	4.93118914216
ENSMUSG00000025491	En	9.43355304022	1.81203260872e-25	3.20978926227e-22	Ifitm1	11.4464865588	2.01293351861
ENSMUSG00000025279	En	0.667155479882	1.26398791593e-23	1.99021919519e-20	Dnase1l3	0.667155479882	0.0
ENSMUSG00000001020	En	5.59250164248	7.63638379158e-23	1.08215194711e-19	S100a4	5.86549783671	0.272996194225
ENSMUSG00000032496	En	1.36694496736	3.59621346002e-19	4.632903722e-16	Ltf	1.504258662	0.137313694642
ENSMUSG00000034220	En	-4.85766741767	1.31423896196e-16	1.43262156384e-13	Gpc1	0.422822352176	5.28048976984
ENSMUSG00000060586	En	1.60224937537	8.21806844786e-16	8.3184462839e-13	H2-Eb1	1.65768171035	0.0554323349833
ENSMUSG00000036256	En	2.019099166	2.32156028904e-15	2.1932553904e-12	Igfbp7	2.019099166	0.0
ENSMUSG00000024053	En	4.41207532191	3.28725515452e-15	2.91148079967e-12	Emilin2	5.36161723612	0.949541914208
Rn4.5s	Sy	4.07763196829	4.74552248222e-15	3.9558117115e-12	Rn4.5s	9.24444645959	5.1668144913
ENSMUSG00000032484	En	3.07847661688	1.63036425758e-14	1.28354954968e-11	Ngp	3.62776895818	0.549292341292
ENSMUSG00000037362	En	2.14156084518	1.95278418752e-14	1.45646866955e-11	Nov	2.14156084518	0.0
ENSMUSG00000032578	En	2.71419300333	4.29000650045e-14	3.03968410589e-11	Cish	2.77507991959	0.0608869162583
ENSMUSG00000001025	En	5.34389536139	1.5100523456e-13	1.01899770426e-10	S100a6	6.43017010688	1.08627474549
