GeneID	SystemCode	LogFold	rawp	adjp	Symbol	avg-c1_AML	avg-c1_cellHarmony-Reference
ENSMUSG00000036192	En	1.05591913513	9.37800049768e-26	1.23639558561e-21	Rorb	1.05591913513	0.0
ENSMUSG00000020027	En	8.37839498231	1.11715465399e-20	7.36428347908e-17	Socs2	8.89285828375	0.514463301439
ENSMUSG00000025279	En	1.10532249398	3.57335476707e-19	1.5703703083e-15	Dnase1l3	1.111570631	0.00624813701754
ENSMUSG00000078922	En	6.45030037116	2.94657155019e-13	9.71189982943e-10	Tgtp1	7.32742499125	0.877124620088
ENSMUSG00000056054	En	2.5024400625	1.50878809927e-12	3.97837246016e-09	S100a8	2.5024400625	0.0
ENSMUSG00000035042	En	5.39850238055	4.42363379732e-12	9.7201979973e-09	Ccl5	5.59594612025	0.197443739702
ENSMUSG00000054203	En	0.79997274448	2.28964849307e-11	4.31238939037e-08	Ifi205	0.817768451375	0.0177957068947
ENSMUSG00000086503	En	3.49805321426	3.47616363729e-11	5.72871767425e-08	Xist	3.55549263388	0.057439419614
Gm6251	Sy	4.35793396652	5.25418028121e-11	7.69679031416e-08	Gm6251	5.03651443687	0.678580470351
ENSMUSG00000002565	En	3.99062711388	1.52829434059e-10	2.01490325863e-07	Scin	3.99062711388	0.0
ENSMUSG00000036103	En	-2.34205243055	2.85299676465e-10	3.41944630411e-07	Colec12	3.00713100388	5.34918343442
ENSMUSG00000046687	En	3.49649408451	3.85437702646e-10	4.23467555973e-07	Gm5424	3.56783090725	0.0713368227368
ENSMUSG00000072620	En	4.33482989496	8.20306999155e-10	8.3191749822e-07	Slfn2	4.74163699162	0.406807096667
ENSMUSG00000038357	En	2.31297709213	2.96629199433e-09	2.79339954666e-06	Camp	2.31297709213	0.0
ENSMUSG00000048376	En	5.32359161349	3.700685655e-09	3.25265597837e-06	F2r	6.15556316913	0.831971555632
ENSMUSG00000044285	En	2.4418367622	4.22033860453e-09	3.47755901013e-06	Gm1821	8.82016888925	6.37833212705
ENSMUSG00000040006	En	3.90708750058	6.17473807771e-09	4.78869098921e-06	Ginm1	4.144186753	0.237099252421
ENSMUSG00000001020	En	3.84791784749	9.9148169203e-09	7.25631859006e-06	S100a4	3.95906742875	0.111149581263
ENSMUSG00000032484	En	1.82041794202	1.04573766089e-08	7.25631859006e-06	Ngp	1.83543530513	0.0150173631053
ENSMUSG00000066363	En	4.84085593529	2.00043300683e-08	1.3186854381e-05	Serpina3f	5.32161101438	0.480755079088
ENSMUSG00000039264	En	3.43314823551	5.95496581287e-08	3.73858425128e-05	Gimap3	3.44184464187	0.00869640636842
ENSMUSG00000046314	En	1.76758063987	6.24350132454e-08	3.74156006649e-05	Stxbp6	1.87263527063	0.105054630754
ENSMUSG00000020646	En	2.8640542415	8.06698140826e-08	4.62413403855e-05	Mboat2	2.8640542415	0.0
ENSMUSG00000079845	En	6.16578213377	1.03985888538e-07	5.712291477e-05	Xlr4a	7.26054073913	1.09475860535
ENSMUSG00000064147	En	5.38754528737	1.28081797125e-07	6.75452165318e-05	Rab44	6.50649907087	1.11895378351
ENSMUSG00000067768	En	3.85149031508	1.58870271012e-07	8.01778817722e-05	Xlr4b	4.2516384035	0.400148088421
ENSMUSG00000083192	En	-3.42298861904	1.641992421e-07	8.01778817722e-05	Rpl31-ps12	0.4159609205	3.83894953954
ENSMUSG00000034192	En	-5.78868622035	1.77762184833e-07	8.37005944584e-05	Lsm3	2.47776248012	8.26644870047
ENSMUSG00000032578	En	4.26893122603	3.60783341278e-07	0.000164019571428	Cish	4.70846485775	0.439533631719
ENSMUSG00000062593	En	2.35493531785	4.57513316235e-07	0.000201061852041	Lilrb4	2.45274765563	0.0978123377719
ENSMUSG00000031074	En	2.8788780062	1.40362560501e-06	0.000591139840809	Fgf3	2.95784291112	0.0789649049298
ENSMUSG00000022389	En	1.90425801689	1.43480543886e-06	0.000591139840809	Tef	1.941642769	0.0373847521053
ENSMUSG00000035235	En	4.90154030359	1.60195729006e-06	0.000640006209459	Trim13	5.76338546687	0.861845163281
ENSMUSG00000024014	En	3.44991683333	1.69730618078e-06	0.000658155431984	Pim1	4.742589109	1.29267227567
ENSMUSG00000032496	En	1.16684747875	1.81615581701e-06	0.000676524792651	Ltf	1.16684747875	0.0
Rn4.5s	Sy	4.48406909996	1.84730677605e-06	0.000676524792651	Rn4.5s	10.166205556	5.68213645604
ENSMUSG00000024053	En	3.24499254981	1.99410483529e-06	0.000710548058067	Emilin2	3.538590117	0.293597567193
ENSMUSG00000035284	En	1.70671541058	2.21550970688e-06	0.000755271813698	Vps13c	1.86828745487	0.161572044298
ENSMUSG00000039206	En	3.86287721799	2.23419301686e-06	0.000755271813698	Daglb	4.71068702362	0.847809805632
ENSMUSG00000079014	En	1.38674908169	2.45311125895e-06	0.000808545470951	Serpina3i	1.50966712638	0.122918044684
ENSMUSG00000051397	En	4.4224682653	2.60298698821e-06	0.00083701903543	Tacstd2	5.19101438238	0.76854611707
ENSMUSG00000021211	En	4.1778086254	2.76970174155e-06	0.000861911824947	Akr1c12	4.78674012987	0.608931504474
ENSMUSG00000042129	En	2.66360058217	2.81115052129e-06	0.000861911824947	Rassf4	3.0798584905	0.416257908333
ENSMUSG00000073940	En	5.80137471836	3.09727305106e-06	0.00090743217567	Hbb-b2	6.96066517237	1.15929045402
Hbb-bt	Sy	5.80137471836	3.09727305106e-06	0.00090743217567	Hbb-bt	6.96066517237	1.15929045402
ENSMUSG00000022261	En	2.0562949655	3.86943790128e-06	0.00108702673379	Sdc2	2.0562949655	0.0
ENSMUSG00000060981	En	4.07445224046	3.87517115351e-06	0.00108702673379	Hist1h4h	4.73668760237	0.662235361912
ENSMUSG00000095720	En	1.52790030875	4.36382557619e-06	0.00119859742493	Gm1604b	1.52790030875	0.0
ENSMUSG00000018166	En	1.95615167368	5.67718826904e-06	0.00152751122733	Erbb3	2.028419387	0.0722677133158
ENSMUSG00000029570	En	1.1325068716	6.04963059266e-06	0.00159516659467	Lfng	1.15140347238	0.0188966007719
A130077B15Rik	Sy	-1.73788365583	7.18236445992e-06	0.00185671162823	A130077B15Rik	6.46102001975	8.19890367558
ENSMUSG00000001025	En	4.06280066886	7.87307344823e-06	0.00198295410694	S100a6	4.76188399075	0.699083321895
ENSMUSG00000040043	En	2.92621816766	7.97152363986e-06	0.00198295410694	Rbms2	3.19678165487	0.270563487211
ENSMUSG00000042817	En	-5.4900016045	8.94303455517e-06	0.00218342532547	Flt3	1.61466570625	7.10466731075
ENSMUSG00000057322	En	1.48225924129	1.02813064413e-05	0.0024645226204	Rpl38	11.3459301662	9.86367092496
ENSMUSG00000028124	En	3.18966743827	1.10956225433e-05	0.00261222656448	Gclm	3.93654576425	0.746878325982
ENSMUSG00000019960	En	-5.59919304514	1.25231878851e-05	0.00289659138732	Dusp6	0.0	5.59919304514
ENSMUSG00000060586	En	2.48487230663	1.48179048706e-05	0.00336826306575	H2-Eb1	2.910963313	0.426091006368
ENSMUSG00000069072	En	-1.61881725814	1.58504339842e-05	0.00351337892077	Slc7a14	2.38759935012	4.00641660826
ENSMUSG00000033107	En	2.67209904823	1.5989285137e-05	0.00351337892077	Rnf125	2.86691839525	0.194819347018
ENSMUSG00000041272	En	5.04748916325	1.65422275843e-05	0.00355956728751	Tox	6.34325117225	1.295762009
ENSMUSG00000027435	En	-4.57989501881	1.67394699503e-05	0.00355956728751	Cd93	2.51661318075	7.09650819956
ENSMUSG00000039167	En	-4.47871351423	1.71225210695e-05	0.00357516140667	Eltd1	2.43970979013	6.91842330435
ENSMUSG00000071478	En	1.69288363773	1.73551524596e-05	0.00357516140667	Hist1h2ad	1.7885582295	0.0956745917719
ENSMUSG00000021065	En	4.57527693268	2.32483648979e-05	0.00471548373559	Fut8	8.77706757762	4.20179064495
ENSMUSG00000067288	En	0.991716339443	2.41174794171e-05	0.00481764922174	Rps28	11.8208730012	10.8291566618
ENSMUSG00000037169	En	4.2640439545	2.56869076151e-05	0.00505456999997	Mycn	5.35575775175	1.09171379725
ENSMUSG00000024253	En	4.41885938826	2.98006354773e-05	0.00577781732548	Dync2li1	5.10584566662	0.686986278368
ENSMUSG00000006517	En	1.86179668599	3.15827059774e-05	0.00603458544357	Mvd	1.94484750362	0.0830508176316
ENSMUSG00000070495	En	-1.11875170321	3.83837142829e-05	0.0072008571797	Ctcfl	2.06678670425	3.18553840746
ENSMUSG00000030157	En	2.08111618055	3.88111278249e-05	0.0072008571797	Clec2d	2.35136959337	0.270253412825
ENSMUSG00000056071	En	2.1053328345	3.93250695493e-05	0.0072008571797	S100a9	2.24787125563	0.142538421123
ENSMUSG00000073557	En	-1.84719631875	4.07924565955e-05	0.00736722942131	Ppp1r12b	0.907029287	2.75422560575
ENSMUSG00000093674	En	0.665315585702	4.22355835862e-05	0.00752478289191	Rpl41	12.956556895	12.2912413093
ENSMUSG00000032119	En	2.78577297546	4.33200038155e-05	0.00761507907071	Hinfp	2.96548238025	0.179709404789
ENSMUSG00000002885	En	2.25896969976	5.17403460973e-05	0.00896669978806	Cd97	2.45691491838	0.197945218614
ENSMUSG00000066647	En	-1.59584849712	5.23692266141e-05	0.00896669978806	Gm5113	1.27700435	2.87285284712
ENSMUSG00000018160	En	-3.18611052295	5.7507345711e-05	0.0096484742637	Med1	5.26852697675	8.4546374997
ENSMUSG00000030407	En	1.87591990613	5.7814735045e-05	0.0096484742637	Qpctl	1.87591990613	0.0
ENSMUSG00000022762	En	1.71182941225	5.88298738487e-05	0.00969516321027	Ncam2	1.71182941225	0.0
ENSMUSG00000056367	En	1.84157510325	6.6631434591e-05	0.0107437898141	Actr3b	1.84157510325	0.0
ENSMUSG00000049103	En	1.50308708475	6.73572100792e-05	0.0107437898141	Ccr2	1.558377841	0.0552907562456
ENSMUSG00000074218	En	1.07910659225	6.76376330832e-05	0.0107437898141	Cox7a1	1.07910659225	0.0
ENSMUSG00000037362	En	1.0394888495	6.91940635457e-05	0.0108601730213	Nov	1.0394888495	0.0
ENSMUSG00000020419	En	1.61487790275	7.16134522433e-05	0.0110741103995	Hormad2	1.61487790275	0.0
ENSMUSG00000054434	En	1.19807522275	7.22370672295e-05	0.0110741103995	Tmem120b	1.19807522275	0.0
ENSMUSG00000051335	En	1.82561323345	8.04875846735e-05	0.0119624071059	Gfod1	1.92699349563	0.101380262175
ENSMUSG00000036594	En	3.1693433142	8.07535067072e-05	0.0119624071059	H2-Aa	3.77062674925	0.601283435053
ENSMUSG00000027669	En	3.98423080373	9.08271641819e-05	0.0132514464004	Gnb4	5.04257720875	1.05834640502
ENSMUSG00000029175	En	1.58812215903	9.14655356824e-05	0.0132514464004	Slc35f6	1.6378230495	0.0497008904737
ENSMUSG00000040314	En	4.98892089322	9.89387899427e-05	0.0141783587674	Ctsg	6.4219188815	1.43299798828
ENSMUSG00000004032	En	2.80280123195	0.000100848426128	0.0142966198932	Gstm5	3.05794072088	0.25513948893
ENSMUSG00000026770	En	1.82657157398	0.000119705864042	0.0167893841652	Il2ra	1.893367858	0.0667962840175
ENSMUSG00000060798	En	-1.68845038562	0.000125587549578	0.0173031753132	Intu	1.48049107387	3.16894145949
ENSMUSG00000083311	En	-3.52492734922	0.000126417630566	0.0173031753132	Gm5643	4.08800143862	7.61292878784
ENSMUSG00000009585	En	-4.26831831916	0.000127306432447	0.0173031753132	Apobec3	2.22880291488	6.49712123404
LOC100504703	Sy	3.63877321043	0.000142112622853	0.0191184981602	LOC100504703	4.5454298265	0.90665661607
9530091C08Rik	Sy	-1.09437625924	0.000149422000905	0.019761660566	9530091C08Rik	0.23477000925	1.32914626849
