UID	HSCP-1_AML:HSCP-1_AML	HSCP-2_AML:HSCP-2_AML	IG2_AML:IG2_AML	DC_AML:DC_AML	Mono_AML:Mono_AML	Myelocyte_AML:Myelocyte_AML
AML--positive:Gm6251	4.01433723365	3.74362962413	3.44315016706	3.53103132726	4.30346121813	1.56718892282
AML--positive:H2-Aa	2.94840385067	2.45265432031	2.34526316004	2.71425820852	3.07253067137	3.62397230613
AML--positive:Cd74	2.4525604281	2.74954791427	3.01621419282	2.54980918209	2.97739158991	3.66239166438
AML--positive:H2-Eb1	1.36610059163	1.79535396859	0.930152590582	5.64855022853	1.60224937537	1.996284193
AML--positive:Gm1821	2.67655234013	2.01668182239	2.87386843574	2.87122781275	2.0499300123	0.801979440286
AML--positive:H2-Ab1	2.49474221108	3.62778882507	-0.0586672730185	2.60556375838	3.67298129814	3.41459688675
AML--positive:Rn4.5s	4.06821144715	3.48466381876	3.40305323682	3.62436744302	4.07763196829	1.36615018052
AML--positive:Cd36	0.578355226537	0.5884710145	0.429315001769	9.60780079956	0.26701335	0.51439777625
AML--positive:Plbd1	0.89823749762	0.840257282813	0.713863228243	2.84163412674	1.24158944489	0.884744476821
AML--positive:Gcsam	0.914157105244	0.593230864366	2.61427808485	5.91973711588	0.0511349072353	0.507528055
AML--positive:Itgae	0.267638448364	0.1306064859	0.0752980146769	7.61004052026	0.133996727942	1.05248245062
AML--positive:Naaa	1.29842985741	0.950909235697	1.06428457666	4.42521326904	0.409512540735	0.742651545589
AML--positive:Ifi205	0.802356204833	0.45301842477	0.467219147991	0.183774272182	0.376647530555	0.1514796335
AML--positive:Bcl2a1a	0.231985081545	0.0	0.128072144462	8.49918741747	-0.0335364572755	0.462713037125
AML--positive:Xcr1	-0.172267915732	0.0577027198908	-0.0891479373508	8.59392676536	-0.126455548038	0.748602730036
AML--positive:Eps8	1.28769148586	0.976049099168	2.2749948203	4.81432057741	1.88052638667	0.039257301125
AML--positive:Ahnak	0.96538061012	1.44834825642	2.15689145263	-1.75929366371	1.86382303279	0.27971748925
AML--positive:Bcl2a1d	0.200758098463	0.3070389328	0.122720086258	8.56298340935	0.00565261165392	0.052779125125
AML--positive:Cadm1	0.0239122187273	0.062964074108	0.0785811123846	5.42853688788	0.0915845127059	0.17999942475
AML--positive:Lgals3	0.0764257062217	0.3897021196	0.822144980234	0.0170447306	2.88562267737	-1.24177789034
AML--positive:Btla	0.381060016049	0.24814722084	-0.11569812676	5.23675009985	-0.160316156512	1.35120696888
AML--positive:Bcl2a1b	0.0386777124131	0.1803227036	-0.148959047917	6.01872373044	0.0481654001485	0.604868970875
AML--positive:Cish	2.41889266974	2.46539660289	3.04398855092	2.75468440844	2.71419300333	0.343057815375
AML--positive:Itgb7	1.28161280776	0.262606093584	2.02710622926	-3.36274593827	1.88668025997	0.0
AML--positive:Cd97	1.8305679722	1.0990365447	2.03590286597	1.44870701969	0.983005349599	0.194423344429
AML--positive:Slfn2	3.05002043615	1.41147603756	1.28445846426	-0.215418173324	1.11967351428	0.362010400036
AML--positive:Myh9	0.402576323659	0.262973879476	0.470911313757	-0.428354594629	0.951337428874	0.264806486411
AML--positive:Frmd4b	0.118756942319	1.33636362884	1.48743628077	2.53890788485	1.58861211989	0.0310668545
