Cluster-name	cellHarmony-Reference	AML	Fisher exact test p-value	% cellHarmony-Reference	% AML
c1	57	8	0.3792641056857523	11.9	8.33
c3	87	9	0.03562558059015637	18.2	9.37
c4	18	1	0.2239993465107309	3.78	1.04
c5	14	1	0.4854738190806289	2.94	1.04
c6	45	4	0.10960112886973818	9.45	4.16
c7	25	18	4.2832696494654844e-05	5.25	18.7
c8	5	34	4.81963745733685e-24	1.05	35.4
c9	28	5	1.0	5.88	5.20
c10	120	5	2.5390550524430228e-06	25.2	5.20
c11	60	3	0.004046583978813235	12.6	3.12
c12	14	8	0.01958695832897465	2.94	8.33
c2	3	0	0.01958695832897465	0.63	0
