UID	row_clusters-flat	Cell27-B7	Cell12-F3	Cell4-H1	Cell75-E7	Cell45-B12	Cell54-A2	Cell96-A12	Cell19-E5	Cell69-D5	Cell31-G7	Cell52-G1	Cell33-B8	Cell83-B9	Cell40-G10	Cell36-H8	Cell7-F2	Cell94-C11	Cell35-E8	Cell16-F4	Cell39-C10	Cell18-A5	Cell23-B6	Cell53-H1	Cell32-H7	Cell2-D1	Cell64-E4	Cell82-F8	Cell6-E2	Cell37-D9	Cell55-D2	Cell22-A6	Cell44-A12	Cell20-F5	Cell3-F1	Cell15-D4	Cell46-D12	Cell14-B4	Cell10-B3	Cell88-B10	Cell1-A1	Cell26-A7	Cell74-D7	Cell93-B11	Cell47-F12	Cell29-E7	Cell56-E2	Cell51-E1	Cell61-H3	Cell65-F4	Cell25-E6	Cell48-H12	Cell66-A5	Cell77-G7	Cell91-E10	Cell17-G4	Cell60-G3	Cell71-E6	Cell59-E3	Cell38-E9	Cell28-D7	Cell81-E8	Cell68-C5	Cell70-E5	Cell8-G2	Cell76-F7	Cell42-F11	Cell11-E3	Cell62-A4	Cell21-H5	Cell80-C8	Cell5-B2	Cell43-G11	Cell9-H2	Cell57-H2	Cell85-G9	Cell89-C10	Cell87-A10	Cell34-C8	Cell24-D6	Cell41-E11	Cell63-D4	Cell67-B5	Cell78-H7	Cell58-D3	Cell30-F7	Cell13-H3	Cell86-H9	Cell79-B8	Cell92-A11	Cell50-B1	Cell72-G6	Cell95-G11	Cell49-A1	Cell84-F9	Cell90-D10	Cell73-B7
column_clusters-flat		1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	4	5	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	10	10	10	10	10	11	11	11	12	12	12	12	12	12	12	12
Egr1	7	0.0	0.0	7.885208276	0.0	0.0	0.0	0.0	8.69901713	9.806614063	7.328674927	0.0	8.045978028	0.0	8.689473895	7.71829312	0.565597176	0.23878686	0.0	0.214124805	8.982822494	7.095818956	9.021174322	6.161887682	6.06091205	7.127530108	5.582556003	0.0	0.0	3.789729251	0.214124805	0.0	0.0	0.250961574	0.0	0.250961574	0.0	8.705355916	0.0	0.0	9.728243664	0.0	0.887525271	0.713695815	0.23878686	0.0	7.855117639	0.0	0.0	0.485426827	0.0	0.0	7.582857035	0.526068812	0.0	3.241840184	0.422233001	0.367371066	0.0	0.0	0.847996907	0.432959407	0.0	0.0	0.0	0.0	0.263034406	6.393175914	0.0	7.669097651	0.0	0.286881148	7.109778429	6.967283908	0.0	6.935341876	0.695993813	0.0	8.529430554	0.0	0.0	7.503825738	4.946262984	0.0	0.432959407	6.371036052	6.656353352	0.0	0.0	6.002027365	6.047232996	4.534186139	7.210330414	7.644505257	9.243340622	8.545852566	8.127788023
Fos	7	10.27636871	7.158458216	7.916655776	0.5360529	8.967255084	2.427606173	0.0	9.167518504	10.73472655	0.970853654	7.022700704	9.297672907	7.142617655	9.28861234	8.907010815	10.17230249	3.451540833	6.945560886	0.0	9.533407608	11.12701414	9.785599591	5.302319051	7.840966704	7.829659319	9.818502292	8.782113653	3.738767837	6.005624549	4.442943496	6.090430042	0.367371066	5.040015679	0.321928095	4.792855352	0.0	8.673485757	7.67030217	0.378511623	9.766197597	9.229179319	0.516015147	0.0	0.35614381	8.014522675	5.826548487	1.691534165	0.454175893	7.818646083	9.337844867	0.454175893	4.382667253	0.0	4.590362488	8.671541067	0.0	0.0	0.575312331	0.0	7.468175995	0.613531653	2.229587923	0.0	1.521050737	0.0	7.763477971	9.034688934	0.485426827	0.0	8.244791942	8.322514071	9.839770675	8.679268958	0.613531653	6.725604841	0.956056652	1.859969548	8.551016063	7.999774561	2.3950628	6.56270035	2.163498732	8.532628658	7.480992104	7.468909092	9.534244512	7.414135533	4.921245889	1.007195501	5.268284667	0.50589093	0.275007047	6.851998837	9.184627436	6.375734539	4.125981654
Zfp36	7	9.435774423	7.850811922	4.399171094	1.070389328	2.570462931	0.0	0.0	0.613531653	0.757023247	3.195347598	9.818837782	0.0	0.454175893	0.575312331	5.883865155	9.104074518	4.140778656	0.650764559	0.0	3.334854269	9.600340382	9.677050104	8.07831095	7.756489607	7.465648026	6.478162893	5.503348735	8.168872653	0.443606651	0.0	8.414516119	6.331096084	8.088046166	2.700439718	0.432959407	0.0	7.613678979	0.464668267	0.0	9.496114769	7.659853221	0.0	0.0	0.0	8.651015803	2.198494154	7.567499815	5.5987225	0.799087306	1.604071324	0.0	5.970393538	1.3950628	3.781359714	0.807354922	0.0	6.72492307	0.678071905	0.0	7.876148552	9.292183569	10.92224989	7.470862199	0.0	0.0	0.799087306	0.0	0.98550043	5.431957188	4.204766751	7.141698449	9.024142346	6.487357715	9.202148318	1.10433666	8.213979052	5.13093087	6.942749071	8.619156202	9.664340612	5.517905554	7.276496666	4.770300489	0.0	6.840211433	4.956056652	6.270715808	7.674757228	7.150965784	7.512542955	8.195298379	7.50191678	0.378511623	8.244363835	6.68187088	3.454175893
Dusp1	7	3.548436625	0.925999419	0.0	7.094024887	1.077242999	3.580145484	0.0	6.703626771	7.175324989	6.601547961	0.0	9.605646187	0.0	6.121637118	9.440121679	9.575652692	7.097926773	4.39848719	8.40888166	1.327687364	8.12742693	8.935754386	9.729212857	6.63691458	7.153906645	8.998562224	6.883742991	7.544655389	0.0	0.0	0.0	0.0	6.242030802	0.344828497	0.389566812	0.0	7.550054126	0.422233001	0.0	7.633867092	0.0	0.0	0.622930351	0.0	0.464668267	9.149366076	0.0	0.847996907	2.495695163	2.217230716	0.0	0.0	8.64201558	0.650764559	8.369640965	0.0	0.0	0.622930351	0.0	0.0	0.0	0.0	3.477677328	6.922078888	0.678071905	0.0	8.818486314	0.0	0.0	6.433794059	0.0	9.155172412	0.0	0.0	6.072963272	4.889473543	0.565597176	7.447000548	1.851998837	1.350497247	0.0	0.0	2.528571319	1.459431619	6.353499735	0.0	5.743622676	6.951051533	0.0	0.0	5.571373436	0.0	0.0	0.0	0.35614381	6.592008461
Jun	7	5.04701482	4.053111336	4.46727948	0.0	8.134939643	3.626439137	6.552438555	5.047887329	7.190120973	5.132576843	4.923624611	0.0	5.845490051	7.158155225	3.715893371	5.971313624	1.752748591	5.065227623	0.0	4.483493351	3.346247774	8.235487739	7.056041549	7.103812329	3.966245873	0.0	5.918863237	4.203201156	3.289834465	1.646162657	4.772941338	4.453517579	4.769242795	0.0	2.364572432	3.658782734	1.15704371	3.618238656	1.084064265	0.0	6.0437382	0.0	0.0	0.23878686	0.286881148	0.0	0.0	0.0	3.687060688	6.987207156	0.0	0.0	0.50589093	2.653060017	7.214804795	0.0	0.0	3.365972428	0.0	3.283921772	0.0	0.0	2.080657663	0.0	5.511910749	4.85847839	0.0	1.469885976	0.250961574	3.814550423	0.0	5.87282876	5.396433531	0.0	0.0	6.340384235	6.567575869	4.543495883	4.653633311	0.0	7.069637728	1.918386234	5.300489844	3.855989697	5.34553831	7.682081641	4.406672716	0.739848103	5.780310099	4.60940039	5.214124805	4.809928866	1.35614381	4.373648211	2.790772038	1.454175893
Btg2	7	10.95025698	10.16758122	6.290018847	6.561326136	9.238213641	3.730096466	8.138066966	8.545427875	6.808127587	10.4739898	0.0	0.555816155	0.263034406	6.643278996	9.031797678	8.027187234	0.23878686	0.389566812	0.214124805	0.782408565	6.209453366	10.40955005	9.454833907	7.84323015	6.427270935	10.74515328	7.194756854	0.0	9.927274264	7.319039816	1.028569152	0.250961574	4.025914699	6.084489525	6.142004916	8.466790238	8.087834075	9.537412559	0.659924558	9.283782903	0.286881148	10.96641893	9.421517868	10.04283582	9.460763038	0.275007047	9.998336561	8.779785005	0.0	9.205402288	7.61485705	10.92535415	9.81682367	8.731895994	9.535314263	9.962520104	10.38673552	9.673185385	6.937226674	9.20635507	8.221683781	1.773996325	9.953905415	11.22322946	0.782408565	9.934619699	0.333423734	8.519361053	7.791032617	9.27735715	9.698774109	10.66410946	9.183833847	6.905326829	6.354381632	0.0	9.660388167	7.136375978	9.215581534	0.948600847	1.195347598	4.912170803	0.422233001	0.432959407	5.826039959	10.52042225	0.22650853	0.604071324	7.661991815	3.260025656	0.0	0.35614381	5.096767855	7.9440385	2.963474124	0.0
Fosb	7	0.0	0.0	3.502075956	0.0	0.0	0.0	0.0	4.04701482	6.238404739	0.0	0.0	0.0	0.0	0.0	0.0	3.904965719	0.0	0.0	0.0	0.0	4.721919446	0.0	3.375734539	0.0	0.0	0.0	0.0	4.450221496	3.030336078	0.0	0.0	0.0	3.447579197	0.0	0.0	0.0	3.008988783	2.469885976	0.0	5.166715445	2.891419187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.963474124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.263034406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.782408565	0.0	0.0	1.811471031	0.176322773	4.381283373	0.0	0.0	0.0	1.220329955	0.0	0.0	0.0	1.292781749
Cpa3	7	8.977108164	0.0	0.0	0.0	0.831877241	0.0	0.0	12.76580614	11.06973841	1.678071905	0.0	0.0	0.941106311	1.150559677	0.0	1.09085343	0.0	0.0	0.0	4.414812061	0.0	12.39297743	10.9825587	0.0	0.0	10.8704649	0.0	7.21451341	0.5360529	0.0	0.0	0.0	0.0	0.0	0.526068812	9.40641762	0.0	0.0	0.0	7.011339088	4.016139703	0.0	0.0	1.443606651	0.613531653	0.584962501	0.887525271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.847996907	0.757023247	2.003602237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.137503524	0.0	0.0	0.0	0.604071324	2.014355293	0.659924558	0.0	0.0	0.0	0.739848103	0.0	0.0	0.0	0.687060688	0.432959407	0.0	0.0	0.367371066	0.464668267	0.0	0.0	0.0	0.0	0.713695815	0.713695815	0.0	0.0	0.0	0.0
Csrp3	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03562391	0.0	0.0	0.0	0.0	0.0	6.061992154	0.0	0.0	0.0	7.286511558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
