UID	row_clusters-flat	HSCP-1:Cell52-G1	HSCP-1:Cell31-G7	HSCP-1:Cell4-H1	HSCP-1:Cell94-C11	HSCP-1:Cell75-E7	HSCP-1:Cell45-B12	HSCP-1:Cell35-E8	HSCP-1:Cell54-A2	HSCP-1:Cell96-A12	HSCP-1:Cell27-B7	HSCP-1:Cell19-E5	HSCP-2:Cell12-F3	HSCP-2:Cell33-B8	HSCP-2:Cell7-F2	HSCP-2:Cell40-G10	HSCP-2:Cell83-B9	HSCP-2:Cell18-A5	HSCP-2:Cell36-H8	HSCP-2:Cell1-A1	HSCP-2:Cell69-D5	IG2:Cell55-D2	IG2:Cell22-A6	IG2:Cell44-A12	IG2:Cell20-F5	IG2:Cell3-F1	IG2:Cell6-E2	IG2:Cell46-D12	IG2:Cell14-B4	IG2:Cell37-D9	IG2:Cell10-B3	IG2:Cell26-A7	IG2:Cell39-C10	IG2:Cell88-B10	DC:Cell74-D7	DC:Cell93-B11	DC:Cell47-F12	DC:Cell29-E7	DC:Cell56-E2	DC:Cell51-E1	DC:Cell61-H3	DC:Cell65-F4	DC:Cell25-E6	DC:Cell48-H12	DC:Cell66-A5	DC:Cell77-G7	DC:Cell91-E10	DC:Cell17-G4	DC:Cell60-G3	DC:Cell71-E6	DC:Cell59-E3	DC:Cell38-E9	DC:Cell28-D7	DC:Cell81-E8	DC:Cell68-C5	DC:Cell70-E5	DC:Cell8-G2	DC:Cell76-F7	DC:Cell42-F11	DC:Cell11-E3	DC:Cell62-A4	DC:Cell21-H5	DC:Cell80-C8	DC:Cell5-B2	DC:Cell43-G11	DC:Cell9-H2	DC:Cell57-H2	DC:Cell85-G9	Mono:Cell63-D4	Mono:Cell24-D6	Mono:Cell2-D1	Mono:Cell64-E4	Mono:Cell87-A10	Mono:Cell32-H7	Mono:Cell67-B5	Mono:Cell89-C10	Mono:Cell23-B6	Mono:Cell53-H1	Mono:Cell41-E11	Mono:Cell34-C8	Mono:Cell78-H7	Mono:Cell58-D3	Mono:Cell30-F7	Mono:Cell82-F8	Mono:Cell15-D4	Gran:Cell13-H3	Gran:Cell86-H9	Gran:Cell79-B8	Myelocyte:Cell92-A11	Myelocyte:Cell50-B1	Myelocyte:Cell72-G6	Myelocyte:Cell95-G11	Myelocyte:Cell49-A1	Myelocyte:Cell84-F9	Myelocyte:Cell90-D10	Myelocyte:Cell73-B7
column_clusters-flat		1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	6	7	7	7	7	7	7	7	7
Egr1	7	-0.422233001	6.906441925999999	7.462975275	-0.183446141	-0.422233001	-0.422233001	-0.422233001	-0.422233001	-0.422233001	-0.422233001	8.276784129	-0.422233001	7.623745027	0.14336417500000004	8.267240894	-0.422233001	6.673585954999999	7.296060119	9.306010663	9.384381062	-0.208108196	-0.422233001	-0.422233001	-0.17127142699999998	-0.422233001	-0.422233001	-0.422233001	8.283122915	3.36749625	-0.422233001	-0.422233001	8.560589493	-0.422233001	0.46529227	0.291462814	-0.183446141	-0.422233001	7.432884638	-0.422233001	-0.422233001	0.06319382600000001	-0.422233001	-0.422233001	7.160624034	0.103835811	-0.422233001	2.819607183	0.0	-0.05486193499999997	-0.422233001	-0.422233001	0.42576390599999997	0.010726406000000022	-0.422233001	-0.422233001	-0.422233001	-0.422233001	-0.159198595	5.970942913	-0.422233001	7.24686465	-0.422233001	-0.13535185300000002	6.687545428	6.545050906999999	-0.422233001	6.5131088749999995	7.081592736999999	-0.422233001	6.705297107	5.160323001999999	-0.422233001	5.638679048999999	4.524029982999999	0.27376081199999996	8.598941321	5.739654680999999	-0.422233001	8.107197552999999	-0.422233001	0.010726406000000022	5.948803051	-0.422233001	-0.17127142699999998	6.234120351	-0.422233001	-0.422233001	5.579794364	5.624999995	4.111953138	6.788097413	7.222272255999999	8.821107621	8.123619565	7.705555022
Fos	7	0.9322706619999996	-5.1195763880000005	1.8262257339999994	-2.6388892090000002	-5.554377142	2.876825041999999	0.8551308439999996	-3.6628238690000003	-6.090430042	4.1859386679999995	3.077088462	1.0680281739999993	3.2072428650000004	4.0818724479999995	3.198182298	1.0521876129999992	5.036584098	2.816580772999999	3.6757675549999993	4.644296507999999	-1.6474865460000006	0.0	-5.723058976000001	-1.0504143630000007	-5.768501947000001	-2.3516622050000002	-6.090430042	2.5830557149999995	-0.08480549300000018	1.5798721279999999	3.1387492769999996	3.442977565999999	-5.711918419000001	-5.574414895	-6.090430042	-5.7342862320000005	1.9240926329999999	-0.2638815550000002	-4.398895877	-5.636254149	1.7282160409999996	3.247414824999999	-5.636254149	-1.7077627890000002	-6.090430042	-1.5000675540000001	2.5811110249999993	-6.090430042	-6.090430042	-5.515117711	-6.090430042	1.3777459529999998	-5.4768983890000005	-3.8608421190000004	-6.090430042	-4.569379305	-6.090430042	1.673047929	2.9442588919999997	-5.605003215	-6.090430042	2.1543619000000005	2.232084029	3.749340633	2.5888389159999994	-5.4768983890000005	0.6351747989999996	0.4722703079999997	1.9093445189999994	1.7392292769999997	3.7280722499999994	-4.230460494000001	1.750536662	-3.9269313100000005	-5.13437339	3.695169549	-0.7881109910000008	-3.6953672420000006	2.460586021	2.4421986159999998	1.3905620619999999	1.3784790499999993	2.6916836109999993	-1.2975746900000003	3.4438144700000004	1.3237054909999992	-1.1691841530000007	-5.083234541	-0.8221453750000007	-5.584539112000001	-5.8154229950000005	0.7615687949999996	3.094197393999999	0.2853044969999994	-1.964448388
Zfp36	7	4.386880593999999	-2.23660959	-1.0327860940000004	-1.291178532	-4.36156786	-2.8614942570000004	-4.781192629	-5.431957188	-5.431957188	4.003817235	-4.818425535	2.418854734	-5.431957188	3.672117329999999	-4.856644857	-4.977781295	4.1683831940000005	0.45190796699999947	4.064157581	-4.674933941	-5.431957188	2.982558931	0.8991388960000002	2.6560889779999997	-2.73151747	2.736915464999999	-5.431957188	2.181721791	-4.9883505370000005	-4.967288921	2.2278960329999995	-2.097102919	-5.431957188	-5.431957188	-5.431957188	-5.431957188	3.219058615	-3.233463034	2.1355426269999995	0.1667653119999999	-4.6328698820000005	-3.827885864	-5.431957188	0.5384363499999996	-4.036894388	-1.650597474	-4.624602266	-5.431957188	1.2929658819999998	-4.753885283	-5.431957188	2.444191364	3.8602263810000004	5.490292702	2.0389050109999998	-5.431957188	-5.431957188	-4.6328698820000005	-5.431957188	-4.446456758	0.0	-1.227190437	1.7097412609999996	3.5921851579999995	1.0554005269999998	3.7701911300000006	-4.327620528000001	0.08594836600000022	3.187199013999999	2.033690838	1.0462057050000002	-0.3010263179999999	2.3245324189999996	1.8445394779999997	2.782021863999999	4.245092915999999	2.6463537620000004	4.232383424	1.5107918829999996	-0.6616566989999999	-5.431957188	1.4082542450000002	0.07139154700000017	-4.998997781	-0.47590053600000015	0.8387586200000001	2.2428000399999997	1.719008596	2.0805857669999996	2.7633411910000003	2.069959592	-5.0534455650000005	2.8124066469999995	1.2499136919999998	-1.9777812950000002
Dusp1	7	-0.925999419	5.675548542	-0.925999419	6.171927354	6.168025468	0.15124358000000004	3.472487771	2.654146065	-0.925999419	2.622437206	5.777627352	0.0	8.679646768	8.649653273	5.195637699	-0.925999419	7.201427511	8.51412226	6.707867673	6.24932557	-0.925999419	-0.925999419	-0.925999419	5.316031383	-0.5811709220000001	6.61865597	-0.925999419	6.624054707	-0.925999419	-0.5037664180000001	-0.925999419	0.40168794499999994	-0.925999419	-0.925999419	-0.303069068	-0.925999419	-0.461331152	8.223366657	-0.925999419	-0.07800251200000008	1.5696957440000001	1.291231297	-0.925999419	-0.925999419	7.716016161000001	-0.2752348600000001	7.443641546	-0.925999419	-0.925999419	-0.303069068	-0.925999419	-0.925999419	-0.925999419	-0.925999419	2.551677909	5.996079469	-0.24792751400000002	-0.925999419	7.892486894999999	-0.925999419	-0.925999419	5.50779464	-0.925999419	8.229172993	-0.925999419	-0.925999419	5.146963853	-0.925999419	0.925999418	6.227907226	8.072562805	-0.360402243	5.710915161	-0.925999419	3.963474124	8.009754967	8.803213438	0.424497828	6.521001129	1.6025719	0.5334322	5.427500316	5.957743572	-0.5364326070000001	-0.925999419	4.817623257	6.025052114	-0.925999419	-0.925999419	4.645374017	-0.925999419	-0.925999419	-0.925999419	-0.569855609	5.666009042
Jun	7	1.2365639230000003	1.445516155	0.7802187920000003	-1.9343120969999998	-3.687060688	4.447878954999999	1.3781669350000003	-0.06062155099999966	2.8653778670000003	1.3599541320000004	1.360826641	0.36605064799999987	-3.687060688	2.2842529360000006	3.471094537	2.1584293629999998	-0.3408129139999998	0.02883268300000008	-3.687060688	3.503060285	-2.040898031	1.08588065	0.7664568909999998	1.0821821070000004	-3.687060688	0.5161404680000006	-0.028277953999999994	-2.530016978	-0.39722622299999966	-0.06882203199999992	2.356677512	0.796432663	-2.6029964229999996	-3.687060688	-3.687060688	-3.448273828	-3.40017954	-3.687060688	-3.687060688	-3.687060688	0.0	3.3001464680000003	-3.687060688	-3.687060688	-3.181169758	-1.0340006709999998	3.527744107	-3.687060688	-3.687060688	-0.3210882599999998	-3.687060688	-0.40313891600000007	-3.687060688	-3.687060688	-1.6064030249999997	-3.687060688	1.8248500610000002	1.1714177020000003	-3.687060688	-2.217174712	-3.4360991139999997	0.12748973500000016	-3.687060688	2.185768072	1.7093728429999997	-3.687060688	-3.687060688	3.38257704	0.9665726230000002	0.2791851850000002	-3.687060688	2.880515181	3.4167516410000003	-1.768674454	2.6533235470000003	4.548427051	3.368980861	-3.687060688	0.8564351950000004	1.6134291560000005	0.16892900900000019	1.6584776220000004	2.231802549	-1.3224882559999998	3.995020953	0.7196120280000002	-2.947212585	2.0932494110000004	0.9223397020000004	1.527064117	1.122868178	-2.330916878	0.686587523	-0.8962886499999998	-2.232884795
Btg2	7	-7.61485705	2.8591327499999997	-1.3248382030000005	-7.37607019	-1.0535309140000004	1.6233565909999994	-7.225290238	-3.8847605840000003	0.5232099159999999	3.3353999300000003	0.9305708249999993	2.5527241700000003	-7.059040895000001	0.4123301839999991	-0.9715780540000001	-7.351822644	-1.4054036840000004	1.4169406279999999	1.6689258530000002	-0.8067294629999999	-0.29581723400000026	-6.586287898	-7.363895476000001	-3.588942351	-1.530367525	-7.61485705	0.8519331879999994	0.4729770249999996	2.312417213999999	1.9225555089999995	-7.327975902	-6.8324484850000005	-6.954932492	3.3515618799999993	1.8066608180000001	2.42797877	1.8459059879999993	-7.3398500030000005	2.383479511	1.1649279550000005	-7.61485705	1.5905452379999998	0.0	3.3104971	2.2019666199999994	1.117038944	1.9204572129999997	2.347663053999999	2.77187847	2.0583283349999997	-0.6776303760000006	1.5914980200000004	0.6068267309999991	-5.840860725000001	2.339048364999999	3.6083724100000003	-6.8324484850000005	2.3197626490000003	-7.281433316	0.9045040030000004	0.1761755669999996	1.6625001	2.083917059	3.0492524100000002	1.5689767970000004	-0.7095302210000005	-1.2604754180000004	-6.419509452000001	1.6007244839999997	-1.1875861150000002	3.13029623	2.0455311170000003	0.22837309999999977	-2.702686247	-7.61485705	2.7946929999999996	1.839976856999999	-6.6662562030000005	-0.4784810720000001	-7.192624049	-7.181897643	-1.7888170910000003	-0.4201001959999999	-1.472852134	2.905565199999999	-7.38834852	-7.010785726	0.04713476500000002	-4.3548313940000005	-7.61485705	-7.2587132400000005	-2.518089195	0.3291814499999992	-4.651382926	-7.61485705
Fosb	7	0.0	0.0	3.502075956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.04701482	0.0	0.0	3.904965719	0.0	0.0	4.721919446	0.0	5.166715445	6.238404739	0.0	0.0	0.0	3.447579197	0.0	4.450221496	0.0	3.008988783	3.030336078	2.469885976	2.891419187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.963474124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.263034406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.375734539	0.0	0.0	1.782408565	0.0	0.0	0.0	0.0	1.811471031	0.176322773	4.381283373	0.0	0.0	0.0	1.220329955	0.0	0.0	0.0	1.292781749
Cpa3	7	0.0	1.678071905	0.0	0.0	0.0	0.831877241	0.0	0.0	0.0	8.977108164	12.76580614	0.0	0.0	1.09085343	1.150559677	0.941106311	0.0	0.0	7.011339088	11.06973841	0.0	0.0	0.0	0.0	0.0	7.21451341	9.40641762	0.0	0.5360529	0.0	4.016139703	4.414812061	0.0	0.0	0.0	1.443606651	0.613531653	0.584962501	0.887525271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.847996907	0.757023247	2.003602237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.137503524	0.0	0.0	0.0	0.604071324	2.014355293	0.659924558	0.0	0.0	0.687060688	0.0	0.0	10.8704649	0.739848103	0.0	0.432959407	0.0	12.39297743	10.9825587	0.0	0.0	0.0	0.0	0.367371066	0.0	0.526068812	0.464668267	0.0	0.0	0.0	0.0	0.713695815	0.713695815	0.0	0.0	0.0	0.0
Csrp3	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03562391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.286511558	0.0	0.0	0.0	0.0	6.061992154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
