UID	row_clusters-flat	HSCP-1	NK	HSCP-2	Meg	Eryth	Multi-Lin	IG2	DC	MDP	Mono	Gran	Myelocyte
column_clusters-flat		HSCP-1	NK	HSCP-2	Meg	Eryth	Multi-Lin	IG2	DC	MDP	Mono	Gran	Myelocyte
Egr1	7	9.039494855	1.378511623	9.760137763	3.773497761	6.2773770355	8.641329262	8.040070491	1.485426827	4.8636758855	0.5704547535	0.0	0.0
Fos	7	9.493715375	10.58442703	10.04343747	3.3722218425	7.119991479	10.61926627	8.925702781	8.435086815	7.8124909385	7.243799761	5.174258412	5.375575473
Zfp36	7	8.10213319	7.888073488	7.995371451	1.5335611965	1.197682236	6.789729251	6.788033114	9.075051225	7.1177648305	4.3240471835	3.5741899875	3.6286821345
Dusp1	7	7.472406536	1.739848103	8.837375637	1.33053274	2.744516138	8.822220272	7.238404739	5.15704371	1.8245777815	2.999549017	0.5057478195	4.63419778
Jun	7	5.27351589	0.948600847	6.991748578	5.898899288	5.9252934225	6.783980414	6.414135533	5.616475329	5.3002019725	4.795944409	2.741888545	5.0448553955
Btg2	7	7.874489611	6.349612972	3.942983598	6.1791430705	5.030832484	8.215678597	8.041001987	8.666721092	5.298530351	3.9813953815	5.951268318	4.5647316715
Fosb	7	0.5360529	0.831877241	1.464668267	0.3446495805	0.0	5.274634403	4.27351589	4.054848477	1.8685080435	0.280846361	0.263034406	0.0
Cpa3	7	0.0	1.042644337	0.0	0.8278133005	0.0	10.22413436	7.580522394	0.0	0.613038445	0.0	0.0	0.0
Csrp3	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Itga2b	7	0.0	0.0	0.0	7.1403635025	0.0	0.378511623	0.0	0.0	0.0	0.0	0.0	0.0
F2r	7	0.0	0.0	0.0	7.5321714815	3.848808383	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Treml1	7	0.0	0.0	0.0	5.63128426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
F2rl2	7	0.0	0.0	0.0	3.9172156145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sdpr	7	0.0	0.0	0.0	6.7599208175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pf4	7	0.0	1.757023247	0.0	12.24700849	1.4160196665	0.0	0.0	1.687060688	0.0	0.0	0.0	0.0
Rab27b	7	0.0	0.0	0.0	3.696351045	0.0	0.0	0.0	0.137503524	0.0	0.0	0.0	0.0
Apbb1	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tinagl1	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gimap6	7	8.804292387	9.92341663	7.268191079	0.0	0.0	0.748461233	0.0	0.0	0.0	0.0	0.0	0.0
Ctla2b	7	6.087674987	5.904724928	7.310067408	2.471815348	0.0	0.0	0.0	1.15704371	0.0	0.0	0.0	0.0
Gcnt2	7	5.588564737	0.0	6.314877757	0.4761667835	0.0	1.655351829	0.189033824	0.0	0.3158548225	0.0	0.0	0.0
