System	SystemCode	MOD_status
Xenopus_Jamboree	Xj	
modCB	Mg	
MIM	Mi	
sharesCDS	Sc	
Illumina	Il	
CAS	Ca	
RFAM	Rf	
TubercuList	Tb	
GadFly	Gf	
Ens_Tg_translation	Ens	
Vega_transcript	Vr	
XenTro	Xen	
goslim_goa	gos	
wormpep_id	Wp	
CCDS	Cc	
EPD	Epd	
Cint	Cj	
ENST	Enst	
TakRub	Tak	
Symbol	Sy	
WikiGene	Wg	
Agilent	Ag	
Genoscope_pred_gene	Gen	
miRBase	Mb	
GPCR	Gpcr	
Vega	Vg	
CioInt	Cio	
HMDB	Ch	MOD
Osford_FGU	Of	
TransFac	Transfac	
FlyBase	F	
SGD	D	
Fantom	Fa	
FlyGrid	Fg	
KeggCompound	Ck	
Vega_translation	Vt	
EMBL	Em	
DBASS3	Dba	
Affymetrix	X	
MiscArray	Ma	
ProteinID	Pi	
CloneID	Clb	
BDGP_insitu_expr	Bd	
Platypus_olfactory_receptor	Pr	
PUBMED	Pu	
Uniprot	S	
Ensembl	En	MOD
Zfin	Z	
HPA	Hpa	
ChEBI	Ce	
PDB	Pd	
UniGene	Ug	
IMGT	Im	
Tgut_symbol	Ts	
Codelink	Co	
MGI	M	
IPI	Ip	
TetNig	Tet	
MEROPS	Merops	
PubChem	Cp	
UCSC	Ucsc	
EntrezGene	L	MOD
Kyotograil	Ky	
Sanger	Sh	
RefSeq	Q	
DEDb	De	
OTT	Ot	
Wormbase	Wb	
HGNC	Hg	
