GeneID	SystemCode	LogFold	rawp	adjp	Symbol	avg-IG2_AML	avg-IG2_cellHarmony-Reference
ENSMUSG00000020027	En	8.38031854646	1.19967842331e-34	1.53078966814e-30	Socs2	8.40598038762	0.02566184116
ENSMUSG00000037169	En	6.83211202431	2.6485176576e-18	1.68975426555e-14	Mycn	6.83211202431	0.0
ENSMUSG00000036192	En	1.08427126529	3.32395497612e-17	1.41378884984e-13	Rorb	1.08871251777	0.00444125248
ENSMUSG00000001025	En	7.18587347382	1.03394177569e-14	3.29827426446e-11	S100a6	7.42546628262	0.2395928088
ENSMUSG00000020125	En	-9.06429688928	1.77010484365e-13	4.51730756099e-10	Elane	3.082901639	12.1471985283
ENSMUSG00000083192	En	-4.03697354726	1.03733576792e-12	2.20606739978e-09	Rpl31-ps12	0.515800054538	4.5527736018
ENSMUSG00000078922	En	5.60625654575	1.3242470151e-12	2.41391313037e-09	Tgtp1	5.70341517115	0.0971586254
ENSMUSG00000073940	En	7.87398031177	4.99046491194e-12	7.07537025293e-09	Hbb-b2	7.87398031177	0.0
Hbb-bt	Sy	7.87398031177	4.99046491194e-12	7.07537025293e-09	Hbb-bt	7.87398031177	0.0
ENSMUSG00000001020	En	6.33767066185	6.50734258939e-12	8.30336914407e-09	S100a4	6.33767066185	0.0
Rn4.5s	Sy	3.40305323682	7.94560866632e-12	9.21690605293e-09	Rn4.5s	9.28872597954	5.88567274272
ENSMUSG00000036594	En	2.34526316004	1.19223342177e-11	1.26774153849e-08	H2-Aa	2.608434905	0.26317174496
ENSMUSG00000087150	En	7.45437117142	4.43340739448e-11	4.35155987335e-08	BC064078	8.14793884054	0.69356766912
ENSMUSG00000024610	En	3.01621419282	5.05143966786e-11	4.60402644014e-08	Cd74	3.20349082662	0.1872766338
ENSMUSG00000009350	En	-5.25623556154	9.95018309223e-11	8.46428908379e-08	Mpo	8.50652252246	13.762758084
ENSMUSG00000044258	En	3.73328857823	3.10312759732e-10	2.47474425886e-07	Ctla2a	7.86394059315	4.13065201492
ENSMUSG00000044285	En	2.87386843574	6.01709326087e-10	4.51635941228e-07	Gm1821	8.87461103438	6.00074259864
ENSMUSG00000041272	En	5.07526393308	1.61997426856e-09	1.14838175927e-06	Tox	5.07526393308	0.0
ENSMUSG00000025279	En	0.906514178923	1.72338604646e-09	1.15738978699e-06	Dnase1l3	0.906514178923	0.0
ENSMUSG00000035004	En	-6.45883218106	2.58133898252e-09	1.64689427085e-06	Igsf6	0.196846610385	6.65567879144
ENSMUSG00000026070	En	5.04463446723	3.04352770778e-09	1.8493054072e-06	Il18r1	5.04463446723	0.0
ENSMUSG00000022769	En	-5.10729417048	2.00771337713e-08	1.16447375873e-05	Sdf2l1	1.55608100592	6.6633751764
ENSMUSG00000021211	En	5.28400004051	2.51723801808e-08	1.39651987438e-05	Akr1c12	5.48854616815	0.20454612764
ENSMUSG00000024975	En	-1.81024934426	2.87452207634e-08	1.52828757059e-05	Pdcd4	8.17374899538	9.98399833964
Rn45s	Sy	-1.46602318831	3.80852456664e-08	1.94387093881e-05	Rn45s	9.83786585769	11.303889046
ENSMUSG00000068396	En	0.989684000969	4.20277332692e-08	2.06259183275e-05	Rpl34-ps1	10.9297359608	9.9400519598
ENSMUSG00000005474	En	3.81712954738	4.82195936941e-08	2.27882227977e-05	Myl10	3.81712954738	0.0
ENSMUSG00000074604	En	6.51834348623	5.80591999524e-08	2.64584068354e-05	Mgst2	8.41488549723	1.896542011
ENSMUSG00000024053	En	4.90954882078	6.10858441843e-08	2.68777714411e-05	Emilin2	5.91497130546	1.00542248468
ENSMUSG00000066363	En	4.87414483873	1.21229213616e-07	5.15628255246e-05	Serpina3f	4.89103415877	0.01688932004
ENSMUSG00000032484	En	2.71164807463	1.51447136663e-07	5.98666620767e-05	Ngp	2.81147588115	0.09982780652
ENSMUSG00000041481	En	5.80794427348	1.51806330061e-07	5.98666620767e-05	Serpina3g	9.61965748392	3.81171321044
ENSMUSG00000079523	En	1.5246597475	1.54827574336e-07	5.98666620767e-05	Tmsb10	8.46661913162	6.94195938412
ENSMUSG00000057322	En	0.975315966569	2.08545012103e-07	7.82657163067e-05	Rpl38	11.2771574008	10.3018414342
ENSMUSG00000057729	En	-3.77332682494	2.53985401073e-07	9.25958205055e-05	Prtn3	7.37441375854	11.1477405835
ENSMUSG00000056071	En	2.78532574888	2.70447318344e-07	9.5858549502e-05	S100a9	3.41429296	0.62896721112
ENSMUSG00000046687	En	4.48207367622	3.24946875231e-07	0.000112062760215	Gm5424	4.53555928338	0.05348560716
ENSMUSG00000025491	En	6.30410840305	4.19637259198e-07	0.000140909774404	Ifitm1	12.3710903888	6.0669819858
ENSMUSG00000030742	En	4.16076355318	4.4653734445e-07	0.000146097859364	Lat	4.58104924962	0.42028569644
ENSMUSG00000091269	En	2.12968927564	6.05396878072e-07	0.000193121604105	Gm6682	2.191941547	0.06225227136
ENSMUSG00000060802	En	1.47269284904	6.75328087984e-07	0.000210175278114	B2m	12.4692491331	10.996556284
ENSMUSG00000025130	En	-3.57304662264	8.42316340304e-07	0.000255903726245	P4hb	6.07436369092	9.64741031356
ENSMUSG00000028434	En	3.94798484766	1.06462285491e-06	0.000315920642526	Epb4.1l4b	3.99322208246	0.0452372348
ENSMUSG00000037362	En	3.90173181338	1.15162008718e-06	0.000333969825282	Nov	3.90173181338	0.0
ENSMUSG00000078606	En	3.48397741996	1.32360119693e-06	0.000375314472729	Gm4070	5.699929047	2.21595162704
ENSMUSG00000021451	En	3.70286162064	1.41240357416e-06	0.000391788469701	Sema4d	4.607988003	0.90512638236
ENSMUSG00000003814	En	-1.68436651944	1.6253362309e-06	0.000441261495877	Calr	8.902517961	10.5868844804
ENSMUSG00000039167	En	-4.56249430539	1.74772407758e-06	0.000464603317289	Eltd1	0.865819173846	5.42831347924
ENSMUSG00000062997	En	0.614789940431	1.89144139978e-06	0.000485936555219	Rpl35	12.4533196292	11.8385296888
Gm6251	Sy	3.44315016706	1.90414010666e-06	0.000485936555219	Gm6251	4.48241680138	1.03926663432
ENSMUSG00000048376	En	4.79270934882	2.96383962111e-06	0.000727280645488	F2r	5.30971317938	0.51700383056
ENSMUSG00000024681	En	-6.0740621308	3.1117993757e-06	0.000749180377999	Ms4a3	3.08317479492	9.15723692572
ENSMUSG00000021384	En	3.36520911357	3.99892509845e-06	0.000944931189929	Susd3	3.46565548669	0.10044637312
ENSMUSG00000079014	En	1.00897656358	4.37063922525e-06	0.000995881366324	Serpina3i	1.07897845662	0.07000189304
ENSMUSG00000069833	En	2.15689145263	4.45797514346e-06	0.000997960751414	Ahnak	2.16025402323	0.0033625706
ENSMUSG00000075420	En	3.20883889401	4.85750871655e-06	0.00106865191764	Smim6	3.34599353277	0.13715463876
ENSMUSG00000030214	En	0.713863228243	6.73869854707e-06	0.00145738632984	Plbd1	0.732449958923	0.01858673068
ENSMUSG00000032496	En	0.959190451197	7.20326594859e-06	0.0015318945584	Ltf	0.991484648077	0.03229419688
ENSMUSG00000057863	En	0.671812005231	7.338358165e-06	0.00153504016697	Rpl36	11.9742273592	11.302415354
ENSMUSG00000028337	En	3.65502100325	8.37072067674e-06	0.00172274831992	Coro2a	6.08244716969	2.42742616644
ENSMUSG00000034220	En	-4.00837098696	9.86781723007e-06	0.0019730998725	Gpc1	0.100093804923	4.10846479188
Chil3	Sy	1.15760691141	9.89642569277e-06	0.0019730998725	Chil3	1.20740239377	0.04979548236
ENSMUSG00000024544	En	3.24853796037	1.09164372585e-05	0.00214298060644	Ldlrad4	3.68335218669	0.43481422632
ENSMUSG00000053168	En	5.02316372984	1.11823570177e-05	0.00216192235675	9030619P08Rik	6.50252453492	1.47936080508
ENSMUSG00000025950	En	-4.46495165713	1.5365302795e-05	0.00292628751738	Idh1	2.01245497531	6.47740663244
ENSMUSG00000057329	En	3.87223184728	1.81028505144e-05	0.00339694665535	Bcl2	5.77656311792	1.90433127064
ENSMUSG00000026072	En	3.49069541686	2.01003901842e-05	0.00371711563407	Il1r1	4.03417866054	0.54348324368
ENSMUSG00000038357	En	1.86281287188	2.24213096927e-05	0.00401512341608	Camp	1.92543675892	0.06262388704
ENSMUSG00000079641	En	0.888195742095	2.25623592713e-05	0.00401512341608	Rpl39	11.0760489246	10.1878531825
ENSMUSG00000067288	En	0.747646454892	2.28830159526e-05	0.00401512341608	Rps28	11.6067393577	10.8590929028
ENSMUSG00000031146	En	4.91861308237	2.297053365e-05	0.00401512341608	Plp2	9.09713478085	4.17852169848
ENSMUSG00000031145	En	2.38515793307	2.34279600624e-05	0.00403974014049	Prickle3	3.99560881815	1.61045088508
ENSMUSG00000036256	En	2.84165847815	2.38701664634e-05	0.00406111098763	Igfbp7	2.84165847815	0.0
ENSMUSG00000034892	En	0.665024574985	2.63077048088e-05	0.00439985002338	Rps29	12.0915225754	11.4264980004
ENSMUSG00000040751	En	4.71221119525	2.65508191066e-05	0.00439985002338	Lat2	7.27701173585	2.5648005406
ENSMUSG00000018819	En	5.03828206546	2.77388676654e-05	0.00453779424884	Lsp1	7.60716502154	2.56888295608
ENSMUSG00000024870	En	-3.77366695883	2.87180000344e-05	0.00463850228403	Rab1b	1.47593125869	5.24959821752
ENSMUSG00000052730	En	3.55671604977	3.02665167765e-05	0.00482750942585	Gm5111	3.55671604977	0.0
ENSMUSG00000024480	En	-4.25385444767	3.10603897002e-05	0.00489297003178	Ap3s1	4.42895149869	8.68280594636
ENSMUSG00000022283	En	-1.24807228118	3.43662741602e-05	0.00534772754004	Pabpc1	8.41052904762	9.6586013288
ENSMUSG00000022659	En	2.61427808485	4.1630405448e-05	0.00640004787369	Gcsam	2.61427808485	0.0
ENSMUSG00000031722	En	-4.61838726641	4.45110159545e-05	0.00668603878444	Hp	0.944669106308	5.56305637272
ENSMUSG00000041959	En	4.40292311439	4.45386596142e-05	0.00668603878444	S100a10	9.28726274023	4.88433962584
ENSMUSG00000090019	En	3.51327894361	5.72561988113e-05	0.00849522205619	Gimap1	4.86783143085	1.35455248724
ENSMUSG00000015619	En	2.19894495883	5.89435050681e-05	0.00864504740999	Gata3	2.34534194115	0.14639698232
ENSMUSG00000031155	En	3.99901039635	7.28506567055e-05	0.0105633452223	Pim2	4.81088327431	0.81187287796
ENSMUSG00000027360	En	-4.51298509177	7.41061447306e-05	0.0106246562558	Hdc	0.956980567231	5.469965659
ENSMUSG00000032323	En	3.07679532308	8.3239545305e-05	0.0117131611286	Cyp11a1	3.07679532308	0.0
ENSMUSG00000032231	En	4.54385223242	8.35342995845e-05	0.0117131611286	Anxa2	10.1329147305	5.58906249812
ENSMUSG00000006360	En	3.11756626936	8.47674093828e-05	0.0117568711274	Crip1	9.94364973408	6.82608346472
ENSMUSG00000029647	En	1.51329243194	9.55804165441e-05	0.0130137601831	Pan3	7.99129088862	6.47799845668
ENSMUSG00000035202	En	-1.29419701271	9.68892803601e-05	0.0130137601831	Lars2	4.95002781069	6.2442248234
ENSMUSG00000027997	En	4.17734532572	9.91292061986e-05	0.0131500150873	Casp6	5.97509908708	1.79775376136
ENSMUSG00000045636	En	-3.99475653326	9.99978210202e-05	0.0131500150873	Mtus1	0.347263969385	4.34202050264
ENSMUSG00000020120	En	4.26310267998	0.00010099541368	0.0131500150873	Plek	5.57557441654	1.31247173656
ENSMUSG00000059883	En	3.7801469676	0.000110965960437	0.0143022793452	Irak4	6.64107377308	2.86092680548
ENSMUSG00000002565	En	3.45707207234	0.00012398991208	0.0158211127813	Scin	3.64821723738	0.19114516504
ENSMUSG00000020368	En	-1.1414580477	0.00012601470416	0.0159202735157	Canx	9.14028840338	10.2817464511
ENSMUSG00000075010	En	4.86588799996	0.000128891127009	0.0161240272611	AW112010	8.16613908	3.30025108004
ENSMUSG00000074874	En	4.27517038262	0.000136377287339	0.016894895014	Ctla2b	5.20256047746	0.92739009484
ENSMUSG00000022048	En	3.9058523694	0.000146531881646	0.0179783347096	Dpysl2	8.44053670092	4.53468433152
ENSMUSG00000037221	En	-3.77724255265	0.000153829995557	0.0186940070791	Mospd3	1.06988176631	4.84712431896
ENSMUSG00000020732	En	3.49502517227	0.000171699415147	0.0206687220498	Rab37	4.57484312731	1.07981795504
ENSMUSG00000085022	En	0.636231826268	0.000176094591193	0.0209996914357	Gm5860	0.785813364308	0.14958153804
ENSMUSG00000024065	En	2.19515345754	0.00017811693576	0.0210441861138	Ehd3	2.19515345754	0.0
ENSMUSG00000079563	En	2.162387514	0.000181295447873	0.0212232102281	Pglyrp2	2.162387514	0.0
ENSMUSG00000022270	En	3.70575178478	0.000184850369957	0.021442642915	Fam134b	5.86724391954	2.16149213476
ENSMUSG00000059498	En	-4.79767715624	0.000199141050901	0.0226995486585	Fcgr3	0.699053757	5.49673091324
ENSMUSG00000047867	En	4.19682236018	0.000199243687285	0.0226995486585	Gimap6	5.73725655062	1.54043419044
